reaction_id,post_id,user_id,reaction_type,created_at
79,2782,1122,Agree,2025-06-21 17:28:48
80,3960,545,Agree,2025-10-26 19:44:21
81,4055,403,Wow,2025-05-20 21:40:29
82,2836,665,Smile,2025-11-20 10:09:49
83,4311,1714,Sad,2025-05-11 13:33:39
84,1608,1466,Sad,2025-12-05 14:23:33
85,3694,1195,Love,2025-03-12 13:09:43
86,4592,1379,Smile,2025-07-03 19:20:15
87,4830,1482,Helpful,2025-08-13 11:20:25
88,6379,1920,Love,2025-10-07 13:25:15
89,2217,1865,Sad,2025-06-21 16:11:05
90,747,2029,Smile,2025-07-16 19:35:11
91,4536,1616,Wow,2025-06-01 15:48:16
92,5199,1449,Love,2025-11-24 02:38:25
93,1117,1389,Smile,2025-11-07 12:07:18
94,3190,1364,Sad,2025-03-26 18:32:08
95,1144,1357,Love,2025-02-21 19:23:41
96,4222,273,Wow,2025-08-13 18:10:25
97,2807,392,Sad,2025-07-20 11:39:19
98,2565,1840,Helpful,2025-06-18 03:58:19
99,3466,553,Love,2025-09-15 20:08:18
100,1928,931,Wow,2025-10-20 08:06:14
101,6235,1447,Thank,2025-08-17 01:52:57
102,3168,345,Wow,2025-10-17 18:19:18
103,4029,2052,Agree,2025-08-07 22:42:44
104,2313,289,Love,2025-10-21 22:58:48
105,3794,1762,Smile,2025-09-20 07:50:40
106,5192,1552,Wow,2025-08-03 11:05:54
107,2777,441,Sad,2025-10-22 23:45:13
108,6312,305,Wow,2025-06-18 12:17:53
109,589,641,Love,2025-06-12 14:13:51
110,4526,1863,Sad,2025-02-01 14:05:16
111,5078,1744,Agree,2025-07-05 20:12:50
112,538,1253,Sad,2025-11-01 04:48:23
113,5849,808,Agree,2025-09-09 09:24:42
114,3847,1984,Sad,2025-01-28 03:51:04
115,2622,1027,Sad,2025-11-28 10:14:47
116,1702,430,Sad,2025-11-12 18:03:18
117,1198,1629,Love,2025-08-20 06:15:21
118,5070,1650,Love,2025-07-09 15:04:28
119,3861,1600,Wow,2025-08-18 13:50:33
120,3826,1960,Helpful,2025-09-11 05:20:41
121,3563,196,Sad,2025-06-30 09:26:16
122,4538,1204,Love,2025-10-01 00:11:35
123,4842,251,Sad,2025-02-06 18:17:48
124,4660,672,Helpful,2025-06-12 10:38:45
125,1838,377,Sad,2025-10-01 12:00:14
126,4476,1033,Love,2025-08-28 23:38:06
127,4300,1778,Love,2025-04-26 19:19:22
128,1879,1338,Agree,2025-09-27 03:59:06
129,2670,1495,Wow,2025-06-21 01:48:44
130,4354,1045,Smile,2025-04-11 08:32:52
131,4606,152,Agree,2025-05-19 23:15:19
132,3632,1583,Smile,2025-12-14 23:08:12
133,4974,2004,Wow,2025-01-15 22:54:49
134,5729,976,Smile,2025-05-06 00:16:32
135,4115,1938,Agree,2025-05-16 03:38:17
136,2659,1865,Sad,2025-08-04 22:52:24
137,3272,174,Sad,2025-03-04 10:43:36
138,5785,469,Wow,2025-09-19 02:21:15
139,5708,1789,Wow,2025-10-02 20:16:52
140,4691,395,Helpful,2025-11-14 16:17:09
141,4798,1083,Thank,2025-09-04 22:48:57
142,790,2017,Love,2025-04-28 22:47:49
143,4969,215,Helpful,2025-04-05 20:11:42
144,2163,1084,Sad,2025-06-18 08:39:11
145,3439,1362,Love,2025-12-06 11:28:22
146,2531,1695,Wow,2025-10-07 22:52:57
147,2397,1841,Smile,2025-03-03 00:13:09
148,3295,1478,Wow,2025-03-11 21:39:01
149,3860,1176,Thank,2025-07-25 11:26:44
150,2217,1927,Helpful,2025-06-21 14:10:05
151,2404,1877,Agree,2025-07-09 04:29:31
152,6462,1758,Agree,2025-02-26 22:03:55
153,4594,1476,Smile,2025-10-09 07:53:39
154,4203,1618,Love,2025-08-23 10:59:19
155,2543,874,Sad,2025-10-01 02:21:15
156,2518,1943,Love,2025-03-23 01:41:09
157,1863,471,Sad,2025-03-01 06:51:23
158,573,1490,Agree,2025-11-16 19:54:02
159,5256,1034,Sad,2025-02-09 04:24:59
160,2435,740,Helpful,2025-10-22 13:31:21
161,5244,1960,Thank,2025-10-30 03:23:45
162,4191,1404,Helpful,2025-06-26 10:17:48
163,2239,1477,Thank,2025-09-28 08:22:25
164,6400,966,Love,2025-09-11 11:49:45
165,2396,390,Agree,2025-07-02 22:57:47
166,657,806,Love,2025-04-19 10:18:15
167,2952,249,Smile,2025-09-22 02:32:15
168,6492,1865,Thank,2025-11-21 08:30:39
169,1940,1438,Agree,2025-03-12 15:12:34
170,3898,313,Agree,2025-02-11 17:47:53
171,5333,1813,Agree,2025-09-18 23:08:51
172,5865,1769,Wow,2025-05-11 14:54:29
173,1722,1597,Agree,2025-08-10 17:01:27
174,3114,1189,Smile,2025-05-26 02:24:16
175,6231,214,Love,2025-09-22 16:19:14
176,1951,536,Thank,2025-10-01 14:35:53
177,3156,441,Thank,2025-10-19 16:03:00
178,5966,1219,Thank,2025-05-29 05:15:14
179,5165,420,Smile,2025-08-30 12:37:35
180,5509,1226,Agree,2025-10-25 14:07:06
181,2938,1604,Agree,2025-06-19 09:37:34
182,5372,125,Love,2025-10-19 12:57:12
183,5583,755,Sad,2025-05-09 15:53:44
184,1695,1165,Thank,2025-09-30 12:47:40
185,1348,1232,Smile,2025-10-04 01:03:18
186,3461,1499,Smile,2025-11-20 21:38:00
187,3335,1612,Smile,2025-03-21 03:14:38
188,2354,771,Sad,2025-12-07 20:04:13
189,4650,635,Agree,2025-06-07 22:28:44
190,569,2088,Love,2025-07-06 06:45:18
191,3487,1023,Agree,2025-09-28 22:23:51
192,4371,1260,Sad,2025-06-30 14:09:56
193,1566,481,Helpful,2025-01-31 14:24:12
194,6419,1715,Sad,2025-05-01 01:20:47
195,4438,658,Sad,2025-08-24 10:49:15
196,1109,388,Sad,2025-05-05 18:48:06
197,2939,1010,Sad,2025-10-08 15:44:32
198,6448,1544,Sad,2025-11-15 19:29:40
199,4155,1392,Thank,2025-10-04 22:31:52
200,606,1575,Agree,2025-10-17 11:51:27
201,2957,1887,Agree,2025-12-11 20:30:36
202,3995,1326,Love,2025-07-04 04:54:24
203,3496,870,Thank,2025-10-19 23:01:06
204,4136,661,Love,2025-11-12 11:23:53
205,938,1475,Sad,2025-10-03 02:56:54
206,3635,1900,Thank,2025-06-26 07:45:34
207,6035,478,Agree,2025-10-23 12:08:16
208,2940,1191,Thank,2025-11-15 04:40:26
209,2037,1157,Wow,2025-07-10 18:19:48
210,1077,696,Agree,2025-10-09 19:37:16
211,2461,1949,Smile,2025-09-13 02:39:36
212,6373,1172,Helpful,2025-09-18 09:30:17
213,3612,1625,Thank,2025-07-25 19:47:31
214,715,213,Sad,2025-03-01 17:47:15
215,6167,789,Love,2025-08-21 09:17:25
216,1688,1034,Wow,2025-02-14 18:46:12
217,574,1010,Love,2025-10-30 13:13:27
218,2993,1148,Wow,2025-10-16 06:57:05
219,2139,238,Sad,2025-07-15 16:01:32
220,2162,1750,Love,2025-04-25 06:25:15
221,4030,357,Love,2025-11-30 11:15:16
222,3977,1999,Helpful,2025-02-26 06:05:21
223,4081,1301,Thank,2025-08-31 12:16:12
224,2451,1321,Love,2025-09-21 10:44:23
225,6420,433,Sad,2025-10-17 13:23:02
226,1686,1231,Thank,2025-10-28 15:35:22
227,5884,1949,Smile,2025-08-02 04:05:38
228,6023,1852,Sad,2025-07-05 20:50:50
229,3614,1482,Helpful,2025-05-02 09:49:30
230,4673,1767,Love,2025-11-05 15:38:25
231,4501,1318,Smile,2025-08-01 09:17:50
232,3836,1047,Agree,2025-03-09 09:30:52
233,4464,934,Love,2025-10-24 23:42:43
234,2782,639,Sad,2025-06-21 15:08:48
235,926,1479,Wow,2025-04-15 09:18:59
236,5241,1454,Helpful,2025-05-29 03:39:47
237,4017,398,Helpful,2025-08-05 08:25:40
238,4750,1455,Helpful,2025-04-29 10:37:44
239,5471,1146,Thank,2025-10-14 16:36:06
240,1099,1095,Helpful,2025-06-22 23:58:58
241,847,1104,Helpful,2025-10-18 18:13:31
242,4910,894,Sad,2025-05-01 06:19:09
243,3326,867,Helpful,2025-09-03 10:28:32
244,4135,152,Helpful,2025-05-26 03:12:26
245,5613,455,Sad,2025-11-27 14:42:02
246,2972,276,Smile,2025-02-28 05:18:11
247,2399,1364,Sad,2025-11-18 06:25:09
248,6023,803,Helpful,2025-07-05 21:31:50
249,614,494,Helpful,2025-07-12 18:54:57
250,3579,2086,Thank,2025-08-09 09:03:10
251,1343,1808,Sad,2025-05-21 01:46:04
252,1417,2061,Agree,2025-05-06 23:03:56
253,4923,1240,Agree,2025-11-22 13:53:59
254,2008,594,Helpful,2025-06-19 14:40:08
255,1891,1354,Thank,2025-10-05 23:09:07
256,2439,1918,Helpful,2025-02-06 00:25:05
257,4180,1020,Agree,2025-10-04 22:48:06
258,3737,1586,Helpful,2025-01-24 16:36:19
259,5168,1198,Thank,2025-01-23 12:42:14
260,5178,780,Wow,2025-07-31 23:38:25
261,2746,422,Sad,2025-09-11 17:28:26
262,4111,1951,Love,2025-04-07 22:19:41
263,4201,450,Sad,2025-04-06 00:10:54
264,5991,271,Wow,2025-10-19 03:31:24
265,1736,1049,Smile,2025-11-28 16:11:56
266,5516,1362,Agree,2025-12-02 00:01:31
267,3637,346,Agree,2025-01-02 06:46:58
268,1085,343,Love,2025-05-27 14:33:29
269,4300,1034,Thank,2025-04-26 17:58:22
270,3911,1752,Thank,2025-03-19 10:44:10
271,4332,1494,Sad,2025-03-25 23:57:05
272,3740,434,Smile,2025-01-25 22:54:49
273,1751,977,Wow,2025-03-17 17:16:33
274,2755,1538,Agree,2025-12-05 22:50:34
275,4956,710,Helpful,2025-05-02 08:59:42
276,5707,1052,Helpful,2025-06-06 13:08:49
277,2781,997,Smile,2025-06-26 02:10:00
278,2162,1386,Wow,2025-04-25 11:28:15
279,4168,1511,Agree,2025-08-23 02:16:34
280,1589,679,Wow,2025-10-16 20:54:12
281,1714,444,Helpful,2025-10-17 09:08:37
282,4459,1730,Helpful,2025-11-10 16:14:17
283,3508,1894,Agree,2025-08-04 02:44:48
284,5420,2090,Agree,2025-01-09 19:45:32
285,3136,153,Thank,2025-07-05 20:22:34
286,1202,1178,Sad,2025-10-29 23:21:10
287,3399,2098,Thank,2025-08-09 00:35:43
288,2449,1232,Thank,2025-05-31 02:22:35
289,4956,2063,Agree,2025-05-02 14:21:42
290,6018,919,Agree,2025-02-08 10:10:57
291,744,1501,Love,2025-07-08 23:57:47
292,4462,481,Agree,2025-05-24 13:46:24
293,1360,137,Thank,2025-10-07 11:35:51
294,4904,1576,Love,2025-03-28 11:15:41
295,2252,150,Agree,2025-08-17 15:42:32
296,3983,1348,Wow,2025-03-06 07:18:43
297,2417,1695,Love,2025-05-10 10:35:37
298,2498,2047,Thank,2025-10-16 13:01:17
299,610,1586,Sad,2025-05-19 04:20:24
300,5928,1797,Thank,2025-08-09 15:36:47
301,5223,506,Agree,2025-07-03 12:11:11
302,555,1357,Thank,2025-09-24 04:47:47
303,4040,1214,Thank,2025-11-17 16:15:05
304,756,478,Thank,2025-08-14 11:17:35
305,3176,1923,Agree,2025-12-12 10:11:59
306,762,777,Wow,2025-03-03 21:01:25
307,4187,1956,Thank,2025-06-19 11:07:05
308,2026,1590,Smile,2025-03-06 09:05:28
309,3184,130,Agree,2025-11-30 21:16:54
310,1390,2031,Wow,2025-10-13 19:24:48
311,5243,1437,Smile,2025-10-18 11:08:10
312,2034,640,Helpful,2025-01-21 03:55:11
313,2343,1460,Smile,2025-09-24 09:34:55
314,2155,1348,Helpful,2025-05-04 18:05:28
315,6123,1421,Love,2025-11-21 19:07:51
316,1187,720,Helpful,2025-07-09 04:43:42
317,560,1447,Agree,2025-11-14 10:19:11
318,2162,547,Sad,2025-04-24 23:36:15
319,5653,387,Sad,2025-07-27 22:16:04
320,3962,1925,Smile,2025-03-04 00:52:56
321,5820,2042,Agree,2025-08-04 18:30:37
322,2660,1441,Love,2025-11-30 00:38:05
323,2384,1577,Wow,2025-05-18 14:52:18
324,1335,1820,Agree,2025-11-02 09:58:28
325,4145,1240,Thank,2025-12-04 16:47:55
326,6465,959,Love,2025-10-06 11:47:51
327,3620,796,Helpful,2025-06-17 03:44:50
328,2123,492,Agree,2025-09-11 00:58:14
329,2486,1043,Wow,2025-09-15 15:47:33
330,2935,1700,Thank,2025-07-22 16:41:54
331,6062,2044,Agree,2025-08-14 00:17:58
332,876,917,Love,2025-02-20 12:05:45
333,1185,1085,Agree,2025-10-26 10:34:50
334,3173,741,Thank,2025-09-30 02:37:20
335,2308,2004,Smile,2025-08-11 16:49:01
336,1299,1732,Thank,2025-09-17 05:06:30
337,3737,1453,Love,2025-01-24 14:24:19
338,4421,1820,Smile,2025-09-18 14:12:56
339,3399,1381,Helpful,2025-08-09 07:41:43
340,3880,820,Love,2025-02-07 11:26:49
341,2476,1457,Agree,2025-09-09 13:31:50
342,1530,1876,Thank,2025-10-05 11:42:08
343,1883,483,Helpful,2025-08-08 14:26:41
344,3789,368,Sad,2025-09-28 15:31:03
345,1606,154,Helpful,2025-11-14 22:14:15
346,2011,129,Thank,2025-12-06 14:46:02
347,5313,267,Love,2025-05-24 01:44:14
348,1072,1265,Helpful,2025-03-28 23:51:00
349,5460,642,Thank,2025-04-13 18:22:01
350,5209,946,Smile,2025-10-07 21:30:02
351,3925,1242,Wow,2025-02-22 14:18:53
352,3436,1939,Agree,2025-06-19 21:24:36
353,3408,2034,Wow,2025-10-09 18:24:39
354,5902,1005,Thank,2025-11-02 20:04:29
355,2228,556,Helpful,2025-09-27 13:31:05
356,5360,698,Smile,2025-04-07 05:13:41
357,1924,535,Wow,2025-10-27 19:21:39
358,2896,362,Thank,2025-03-11 12:58:44
359,2490,1668,Thank,2025-11-15 06:21:59
360,1003,1600,Helpful,2025-07-03 17:23:03
361,5590,489,Thank,2025-10-12 22:25:57
362,1558,104,Wow,2025-07-26 19:36:37
363,3271,1416,Helpful,2025-08-02 14:25:11
364,717,1028,Smile,2025-03-14 17:47:51
365,1755,1524,Helpful,2025-08-01 22:10:52
366,3168,534,Thank,2025-10-17 09:46:18
367,4690,992,Agree,2025-06-22 01:26:00
368,1828,1715,Thank,2025-06-09 01:28:36
369,2677,677,Smile,2025-10-01 23:28:48
370,2393,115,Smile,2025-02-06 15:34:05
371,2368,960,Helpful,2025-08-28 09:35:00
372,4498,172,Agree,2025-06-05 11:48:30
373,5307,883,Love,2025-03-02 10:59:58
374,2379,482,Smile,2025-08-25 10:45:04
375,1624,1344,Sad,2025-12-12 22:11:53
376,3661,630,Wow,2025-10-31 20:52:21
377,4992,294,Smile,2025-11-03 05:51:06
378,1699,2091,Sad,2025-08-31 13:16:55
379,3470,2037,Smile,2025-01-19 09:12:55
380,1013,244,Love,2025-09-01 00:40:02
381,2936,1307,Wow,2025-02-18 14:17:03
382,5096,733,Helpful,2025-08-15 14:04:39
383,5516,1700,Helpful,2025-12-02 00:53:31
384,6404,1154,Wow,2025-06-20 20:04:45
385,2594,484,Wow,2025-10-08 13:02:36
386,2810,1530,Agree,2025-05-08 11:15:54
387,4867,1909,Wow,2025-02-06 02:09:27
388,3506,1128,Thank,2025-11-27 13:54:02
389,2000,788,Helpful,2025-06-24 19:05:46
390,1066,201,Love,2025-08-01 22:48:45
391,2850,647,Wow,2025-07-27 15:20:27
392,6235,1864,Smile,2025-08-17 00:13:57
393,3384,636,Wow,2025-11-14 23:20:25
394,4408,1882,Love,2025-07-14 11:25:39
395,1610,1049,Thank,2025-09-16 14:31:58
396,2458,184,Agree,2025-01-03 04:25:57
397,5963,1228,Wow,2025-01-30 01:45:48
398,4734,575,Agree,2025-12-10 22:46:33
399,3472,377,Agree,2025-02-22 04:27:01
400,1067,1522,Thank,2025-10-20 19:32:32
401,3987,802,Agree,2025-09-11 21:49:39
402,3692,2089,Sad,2025-11-05 12:20:26
403,1699,689,Sad,2025-08-30 21:45:55
404,2005,846,Sad,2025-08-28 05:24:04
405,1497,1446,Sad,2025-06-06 08:28:06
406,1552,570,Smile,2025-11-20 10:21:20
407,5901,2099,Sad,2025-09-06 22:38:58
408,1583,1226,Smile,2025-11-13 16:57:20
409,4231,481,Sad,2025-09-17 17:48:48
410,852,1327,Smile,2025-08-26 10:51:05
411,2780,559,Smile,2025-10-02 19:23:06
412,2356,1547,Wow,2025-09-19 21:33:09
413,2851,1603,Agree,2025-08-13 17:54:05
414,523,1103,Smile,2025-08-27 23:32:15
415,539,1501,Helpful,2025-12-05 22:15:16
416,3659,1139,Sad,2025-08-03 07:18:42
417,5725,2098,Sad,2025-08-29 17:55:25
418,1033,2031,Smile,2025-09-07 22:08:05
419,4668,397,Love,2025-10-23 17:48:11
420,2093,1479,Love,2025-05-15 20:24:35
421,4665,1752,Agree,2025-03-13 16:18:58
422,4678,1685,Wow,2025-04-20 17:54:18
423,4887,683,Wow,2025-03-27 15:59:43
424,2964,737,Sad,2025-01-04 00:47:58
425,6125,637,Thank,2025-12-12 12:44:18
426,6232,1568,Helpful,2025-09-17 17:52:06
427,1684,970,Love,2025-03-19 00:09:26
428,5581,1240,Helpful,2025-10-03 09:03:43
429,6488,425,Agree,2025-10-21 13:40:37
430,5615,1509,Thank,2025-03-05 21:02:38
431,5075,1160,Love,2025-01-02 23:17:26
432,1676,1451,Wow,2025-08-16 16:39:44
433,3831,1574,Sad,2025-05-26 20:48:29
434,3875,696,Agree,2025-10-17 02:18:42
435,5060,1241,Sad,2025-06-07 22:45:51
436,5756,785,Wow,2025-03-28 05:39:57
437,6430,1928,Love,2025-09-01 01:19:10
438,1160,1955,Sad,2025-05-12 20:41:17
439,6196,1163,Thank,2025-04-07 09:17:44
440,4844,2001,Sad,2025-11-22 16:04:58
441,2131,1201,Love,2025-07-08 00:57:54
442,4234,413,Agree,2025-09-22 09:13:48
443,3874,1578,Helpful,2025-10-08 06:45:04
444,1845,1163,Thank,2025-09-30 15:23:33
445,2420,2058,Agree,2025-06-27 23:54:29
446,6497,732,Thank,2025-01-12 20:34:17
447,4458,195,Agree,2025-07-15 18:44:50
448,5661,1204,Helpful,2025-09-21 02:08:00
449,6340,1389,Wow,2025-11-21 14:22:55
450,3138,472,Agree,2025-07-11 04:21:21
451,2783,1988,Love,2025-10-04 13:11:31
452,1672,1986,Agree,2025-03-04 13:59:15
453,1390,1488,Love,2025-10-13 18:11:48
454,1098,272,Smile,2025-10-09 11:50:52
455,1888,1167,Helpful,2025-06-26 22:40:17
456,3308,2062,Love,2025-07-30 16:00:35
457,3301,1746,Thank,2025-06-29 19:21:43
458,2557,1210,Helpful,2025-08-24 23:09:47
459,3329,1996,Agree,2025-08-25 18:19:52
460,3632,1943,Love,2025-12-15 18:43:12
461,5318,815,Thank,2025-08-04 12:48:56
462,992,1690,Thank,2025-07-23 11:40:53
463,3448,1372,Love,2025-07-08 17:40:39
464,5887,1213,Helpful,2025-11-29 12:48:41
465,2816,1160,Helpful,2025-02-22 01:47:13
466,3389,378,Sad,2025-09-26 11:51:21
467,998,1088,Agree,2025-04-26 14:54:45
468,6459,1330,Love,2025-01-28 05:37:35
469,4421,575,Sad,2025-09-18 11:24:56
470,5524,1813,Agree,2025-06-28 14:11:54
471,882,370,Smile,2025-06-16 00:27:12
472,1919,243,Sad,2025-06-23 10:56:43
473,5859,1679,Helpful,2025-12-06 13:40:05
474,6149,316,Sad,2025-11-04 19:23:38
475,987,690,Smile,2025-06-30 17:13:24
476,5593,150,Thank,2025-02-13 17:35:02
477,1805,348,Sad,2025-11-08 01:09:18
478,1893,1477,Wow,2025-03-30 15:33:10
479,2863,1011,Love,2025-04-13 04:25:51
480,784,656,Helpful,2025-06-22 17:31:29
481,1245,290,Love,2025-07-30 14:48:26
482,5480,1798,Sad,2025-02-20 02:29:12
483,1506,1769,Sad,2025-06-13 18:18:56
484,6408,1437,Sad,2025-07-18 12:15:31
485,6195,935,Helpful,2025-03-07 05:37:34
486,3964,659,Agree,2025-05-13 02:17:49
487,3662,1426,Thank,2025-03-28 03:21:08
488,2830,1278,Sad,2025-11-03 05:00:16
489,544,2006,Helpful,2025-10-13 08:06:37
490,4742,1776,Love,2025-02-12 13:52:53
491,5676,1780,Smile,2025-10-23 23:43:12
492,5454,1746,Thank,2025-05-01 21:12:55
493,4831,2076,Thank,2025-06-13 20:43:28
494,1104,1975,Agree,2025-10-02 22:28:41
495,3866,692,Helpful,2025-04-09 20:24:49
496,1461,289,Agree,2025-12-12 20:27:58
497,1659,1627,Thank,2025-06-08 03:00:09
498,4079,756,Smile,2025-05-27 16:14:08
499,4434,1717,Helpful,2025-01-28 00:29:17
500,5180,1818,Thank,2025-04-13 21:26:51
501,2787,1344,Agree,2025-05-09 08:40:26
502,1233,1598,Helpful,2025-02-12 11:22:28
503,2349,1348,Thank,2025-06-22 03:07:06
504,3815,786,Agree,2025-04-19 09:36:30
505,513,917,Sad,2025-11-20 09:51:20
506,929,679,Love,2025-04-19 23:45:26
507,550,161,Agree,2025-05-15 08:37:05
508,3124,1828,Agree,2025-09-03 18:54:35
509,5814,885,Wow,2025-04-21 21:49:49
510,1758,805,Smile,2025-07-04 23:34:52
511,1767,812,Sad,2025-08-28 01:26:04
512,2801,1132,Love,2025-04-15 15:40:08
513,5916,730,Smile,2025-04-21 12:38:44
514,2933,599,Love,2025-02-03 15:05:32
515,4818,366,Smile,2025-10-16 06:39:15
516,4932,603,Love,2025-09-30 20:06:06
517,5916,904,Helpful,2025-04-21 12:19:44
518,4267,1669,Thank,2025-11-29 15:30:33
519,3641,1081,Wow,2025-07-09 00:05:02
520,5421,679,Love,2025-09-22 14:49:49
521,2211,1971,Thank,2025-05-29 05:04:03
522,585,106,Smile,2025-01-30 23:20:16
523,5384,1671,Smile,2025-11-12 04:24:32
524,729,355,Smile,2025-04-01 23:34:57
525,539,979,Wow,2025-12-05 23:43:16
526,4330,989,Wow,2025-11-12 23:12:51
527,987,595,Love,2025-06-30 20:53:24
528,2347,319,Thank,2025-03-11 02:29:09
529,5417,1373,Thank,2025-11-03 00:06:35
530,1455,1177,Wow,2025-08-09 23:05:59
531,1630,1237,Smile,2025-12-09 00:23:00
532,686,2071,Wow,2025-10-16 15:02:09
533,5433,496,Wow,2025-11-28 00:46:42
534,4768,1476,Sad,2025-06-24 00:33:05
535,2606,123,Agree,2025-09-14 16:59:24
536,3953,1356,Sad,2025-10-21 14:54:06
537,791,1165,Agree,2025-01-15 22:44:13
538,1772,403,Agree,2025-06-09 18:45:28
539,2217,440,Helpful,2025-06-21 15:04:05
540,2464,749,Smile,2025-06-11 00:26:15
541,6064,1053,Agree,2025-04-12 13:27:57
542,805,1646,Agree,2025-12-12 23:09:19
543,3097,2045,Wow,2025-06-05 09:57:29
544,5660,411,Thank,2025-10-18 22:54:23
545,3853,1873,Love,2025-11-09 10:25:08
546,4116,2031,Agree,2025-06-16 00:57:54
547,4311,1134,Sad,2025-05-11 13:12:39
548,1507,1150,Agree,2025-05-17 10:40:22
549,2583,532,Wow,2025-05-16 13:45:44
550,4567,181,Sad,2025-06-24 10:29:08
551,6261,1365,Smile,2025-10-27 00:46:12
552,4001,870,Smile,2025-07-03 00:11:45
553,4100,1301,Love,2025-07-16 00:47:30
554,2486,1767,Agree,2025-09-15 15:52:33
555,650,1262,Agree,2025-05-05 19:47:43
556,4550,105,Helpful,2025-08-01 14:58:48
557,4793,1906,Smile,2025-08-07 00:56:26
558,5810,1893,Wow,2025-06-06 01:12:28
559,4931,1842,Helpful,2025-09-08 00:19:42
560,1075,113,Thank,2025-05-31 13:54:05
561,3453,860,Agree,2025-09-26 17:50:00
562,2059,758,Agree,2025-08-30 20:59:10
563,5045,777,Smile,2025-10-29 16:46:56
564,3758,1977,Thank,2025-10-03 23:03:07
565,4117,548,Love,2025-05-16 08:21:08
566,4197,1686,Wow,2025-12-12 16:11:42
567,2124,1079,Agree,2025-08-24 00:00:30
568,5176,2078,Agree,2025-11-19 02:29:01
569,3650,1467,Love,2025-07-21 01:44:10
