session_id,user_id,game_id,device_type,started_at,ended_at,completed,score
32,2767,8,mobile_ios,2024-05-26 22:17:48,2024-05-26 22:21:48,0,
33,725,24,mobile_ios,2024-11-11 11:37:17,2024-11-11 11:42:17,0,
34,58,2,google_home,2024-08-11 02:26:14,2024-08-11 02:47:14,1,671
35,888,5,google_home,2024-07-30 20:35:20,2024-07-30 20:54:20,1,1779
36,969,2,mobile_ios,2024-12-22 04:24:14,2024-12-22 04:55:14,1,993
37,1757,15,mobile_ios,2024-06-06 17:04:05,2024-06-06 17:09:05,0,
38,2396,25,mobile_ios,2024-10-06 03:04:40,2024-10-06 03:15:40,1,547
39,626,2,google_home,2024-12-14 09:35:05,2024-12-14 09:39:05,0,
40,10,14,google_home,2024-11-24 14:53:51,2024-11-24 14:57:51,0,
41,919,16,mobile_ios,2024-10-11 11:45:14,2024-10-11 12:01:14,1,1483
42,2005,11,mobile_ios,2024-07-31 21:19:34,2024-07-31 21:21:34,0,
43,9,23,mobile_ios,2024-08-17 13:26:13,2024-08-17 13:53:13,1,830
44,1961,20,google_home,2024-10-30 23:23:20,2024-10-30 23:29:20,0,
45,1996,4,google_home,2024-12-18 08:18:38,2024-12-18 08:48:38,1,258
46,786,23,alexa,2024-11-15 23:06:15,2024-11-15 23:07:15,1,1538
47,2426,4,alexa,2024-12-13 22:09:00,2024-12-13 22:28:00,0,
48,785,9,alexa,2024-11-16 12:08:40,2024-11-16 12:21:40,1,795
49,697,1,mobile_ios,2024-11-29 00:22:24,2024-11-29 00:51:24,0,
50,2645,3,google_home,2024-11-16 02:41:30,2024-11-16 02:46:30,0,
51,1971,8,mobile_android,2024-09-15 11:05:46,2024-09-15 11:11:46,0,
52,1698,12,mobile_android,2024-08-31 11:53:18,2024-08-31 12:02:18,1,257
53,2963,4,google_home,2024-10-28 02:52:17,2024-10-28 03:07:17,0,
54,1780,13,google_home,2024-11-05 18:39:20,2024-11-05 18:54:20,0,
55,1754,20,google_home,2024-10-28 04:35:34,2024-10-28 04:40:34,0,
56,163,14,google_home,2024-12-08 09:15:38,2024-12-08 09:19:38,1,760
57,1078,8,mobile_ios,2024-12-02 07:36:36,2024-12-02 07:45:36,0,
58,1220,8,google_home,2024-09-26 00:03:03,2024-09-26 00:09:03,1,114
59,171,13,alexa,2024-10-12 21:24:50,2024-10-12 21:37:50,1,949
60,1172,7,alexa,2024-05-31 12:34:56,2024-05-31 12:36:56,0,
61,1883,24,mobile_ios,2024-08-13 16:06:44,2024-08-13 16:08:44,0,
62,2524,21,alexa,2024-04-19 03:51:09,2024-04-19 03:55:09,0,
63,900,24,alexa,2024-09-04 15:39:42,2024-09-04 15:44:42,0,
64,1003,2,google_home,2024-12-13 23:34:46,2024-12-13 23:39:46,0,
65,35,20,mobile_ios,2024-09-06 08:30:01,2024-09-06 08:34:01,1,413
66,1726,3,mobile_ios,2024-11-10 21:23:50,2024-11-10 21:32:50,1,519
67,1066,20,alexa,2024-10-10 20:38:37,2024-10-10 20:43:37,0,
68,1772,17,mobile_ios,2024-12-12 22:20:14,2024-12-12 22:25:14,0,
69,767,3,alexa,2024-10-11 13:25:08,2024-10-11 13:35:08,0,
70,2631,12,google_home,2024-11-26 02:08:51,2024-11-26 02:16:51,1,1190
71,1326,8,alexa,2024-10-27 22:53:23,2024-10-27 23:31:23,1,1577
72,487,1,mobile_android,2024-11-14 08:32:51,2024-11-14 08:37:51,1,601
73,2002,5,mobile_android,2024-09-14 01:29:04,2024-09-14 01:32:04,1,1084
74,887,13,alexa,2024-03-13 19:56:50,2024-03-13 19:58:50,0,
75,2043,16,mobile_android,2024-05-07 22:05:00,2024-05-07 22:18:00,1,1695
76,448,9,alexa,2024-08-24 02:19:11,2024-08-24 02:49:11,0,
77,722,12,alexa,2024-10-29 02:37:37,2024-10-29 03:07:37,0,
78,697,17,mobile_ios,2024-11-12 23:46:06,2024-11-13 00:11:06,0,
79,1938,11,mobile_android,2024-12-10 23:42:03,2024-12-11 00:11:03,1,1720
80,1352,12,alexa,2024-07-25 19:01:07,2024-07-25 19:18:07,0,
81,1427,2,mobile_android,2024-12-26 20:46:47,2024-12-26 20:58:47,0,
82,2334,15,mobile_android,2024-07-29 04:55:13,2024-07-29 05:03:13,0,
83,2598,25,mobile_ios,2024-12-12 10:07:58,2024-12-12 10:14:58,1,1393
84,2393,15,google_home,2024-12-29 22:51:20,2024-12-29 23:25:20,1,1205
85,1617,9,mobile_ios,2024-08-28 14:13:07,2024-08-28 14:43:07,1,1657
86,2563,15,google_home,2024-04-03 20:29:35,2024-04-03 20:43:35,1,1236
87,442,14,google_home,2024-08-07 22:44:12,2024-08-07 22:57:12,1,194
88,746,8,mobile_android,2024-10-15 06:48:34,2024-10-15 07:25:34,1,825
89,2141,1,mobile_ios,2024-11-14 10:34:53,2024-11-14 10:36:53,1,1394
90,134,21,alexa,2024-09-01 14:50:23,2024-09-01 15:00:23,0,
91,2096,19,alexa,2024-12-29 20:39:08,2024-12-29 20:48:08,0,
92,643,25,mobile_android,2024-08-08 10:33:55,2024-08-08 10:49:55,0,
93,2941,20,mobile_android,2024-06-22 22:42:58,2024-06-22 22:55:58,0,
94,2473,20,mobile_ios,2024-12-24 07:37:21,2024-12-24 07:51:21,1,1889
95,2665,5,mobile_android,2024-08-20 14:09:53,2024-08-20 14:19:53,0,
96,1780,7,google_home,2024-10-31 19:48:54,2024-10-31 19:57:54,0,
97,1891,12,mobile_ios,2024-11-18 19:57:24,2024-11-18 20:03:24,0,
98,492,23,alexa,2024-12-01 15:10:20,2024-12-01 15:52:20,1,526
99,2201,3,alexa,2024-09-08 16:39:29,2024-09-08 17:14:29,1,458
100,908,9,mobile_android,2024-10-24 10:43:08,2024-10-24 10:53:08,0,
101,65,12,mobile_android,2024-11-21 13:34:12,2024-11-21 13:45:12,0,
102,1043,16,alexa,2024-10-22 23:04:54,2024-10-22 23:19:54,0,
103,2790,3,google_home,2024-11-20 18:32:27,2024-11-20 18:47:27,1,1460
104,299,15,mobile_ios,2024-05-01 11:26:57,2024-05-01 11:48:57,0,
105,1180,22,alexa,2024-12-22 12:22:31,2024-12-22 12:30:31,0,
106,405,20,mobile_ios,2024-11-27 07:43:15,2024-11-27 08:20:15,0,
107,80,3,mobile_ios,2024-12-22 22:47:48,2024-12-22 22:48:48,0,
108,1264,11,google_home,2024-08-02 09:51:41,2024-08-02 10:34:41,1,741
109,2290,23,alexa,2024-11-16 01:39:33,2024-11-16 01:46:33,0,
110,823,15,mobile_android,2024-03-26 13:20:44,2024-03-26 13:48:44,1,1364
111,2273,2,google_home,2024-12-30 13:02:52,2024-12-30 13:08:52,1,926
112,380,7,alexa,2024-11-24 12:04:04,2024-11-24 12:12:04,0,
113,2732,11,mobile_ios,2024-10-05 12:14:59,2024-10-05 12:19:59,0,
114,1155,2,mobile_ios,2024-12-17 13:26:03,2024-12-17 13:40:03,1,474
115,1496,11,alexa,2024-08-09 08:23:23,2024-08-09 08:37:23,0,
116,2405,21,google_home,2024-10-16 20:49:21,2024-10-16 21:14:21,0,
117,2516,20,mobile_android,2024-11-17 10:42:16,2024-11-17 10:45:16,0,
118,1668,15,alexa,2024-10-12 13:29:39,2024-10-12 14:07:39,1,1597
119,2270,2,alexa,2024-12-06 09:29:36,2024-12-06 09:34:36,1,1700
120,1809,13,alexa,2024-08-30 09:05:25,2024-08-30 09:22:25,1,128
121,1796,7,google_home,2024-08-20 13:07:29,2024-08-20 13:11:29,0,
122,1138,2,google_home,2024-06-17 16:13:56,2024-06-17 16:21:56,1,288
123,2818,7,google_home,2024-12-18 09:56:34,2024-12-18 10:29:34,1,1735
124,1709,14,mobile_android,2024-09-07 22:20:13,2024-09-07 22:35:13,1,1658
125,1388,2,google_home,2024-12-17 17:57:29,2024-12-17 18:04:29,0,
126,237,24,google_home,2024-05-11 04:02:18,2024-05-11 04:03:18,1,1128
127,1308,8,mobile_ios,2024-08-31 11:35:55,2024-08-31 11:55:55,1,1714
128,466,9,google_home,2024-10-12 07:26:51,2024-10-12 07:36:51,0,
129,431,2,mobile_android,2024-09-16 19:14:12,2024-09-16 19:16:12,1,176
130,93,8,google_home,2024-06-12 09:49:23,2024-06-12 09:51:23,1,1458
131,2270,19,alexa,2024-05-12 02:59:35,2024-05-12 03:08:35,1,566
132,1986,8,mobile_ios,2024-12-15 12:40:56,2024-12-15 13:00:56,1,1804
133,2594,17,alexa,2024-07-13 05:44:26,2024-07-13 05:53:26,0,
134,1873,10,alexa,2024-09-25 08:01:08,2024-09-25 08:04:08,1,211
135,2248,15,mobile_ios,2024-09-19 15:08:31,2024-09-19 15:20:31,0,
136,1971,8,mobile_android,2024-12-06 09:55:36,2024-12-06 10:05:36,1,885
137,2949,9,google_home,2024-12-13 07:37:26,2024-12-13 08:00:26,1,422
138,1122,6,mobile_ios,2024-12-21 17:00:53,2024-12-21 17:05:53,0,
139,2982,5,google_home,2024-10-10 17:34:28,2024-10-10 17:58:28,0,
140,2772,9,mobile_ios,2024-11-03 16:45:14,2024-11-03 17:13:14,0,
141,1782,22,mobile_ios,2024-10-09 10:07:37,2024-10-09 10:52:37,1,311
142,1018,2,alexa,2024-11-19 21:58:46,2024-11-19 22:06:46,0,
143,875,14,google_home,2024-11-30 03:25:49,2024-11-30 03:40:49,1,1202
144,451,15,google_home,2024-11-14 09:29:25,2024-11-14 09:31:25,0,
145,2091,13,alexa,2024-09-12 23:30:46,2024-09-12 23:35:46,1,1118
146,2443,12,google_home,2024-09-26 20:43:18,2024-09-26 20:50:18,0,
147,2465,24,alexa,2024-12-16 00:37:29,2024-12-16 00:44:29,1,350
148,2943,9,alexa,2024-09-28 11:42:54,2024-09-28 11:54:54,1,395
149,2297,25,google_home,2024-05-11 23:36:07,2024-05-12 00:12:07,1,322
150,1414,19,mobile_ios,2024-12-13 08:40:02,2024-12-13 09:01:02,1,1833
151,2070,25,mobile_android,2024-06-01 15:09:30,2024-06-01 15:13:30,1,1476
152,75,17,mobile_android,2024-12-30 22:00:42,2024-12-30 22:02:42,0,
153,334,8,google_home,2024-11-23 10:44:07,2024-11-23 11:06:07,1,1644
154,262,5,alexa,2024-07-23 23:13:01,2024-07-23 23:25:01,1,1504
155,837,20,mobile_ios,2024-08-15 22:11:01,2024-08-15 22:34:01,0,
156,2608,12,google_home,2024-07-04 20:59:31,2024-07-04 21:08:31,0,
157,1789,18,alexa,2024-04-17 06:14:30,2024-04-17 06:15:30,0,
158,2663,21,mobile_android,2024-12-16 11:00:15,2024-12-16 11:16:15,0,
159,758,3,mobile_android,2024-04-29 00:15:46,2024-04-29 00:39:46,0,
160,643,4,mobile_android,2024-09-06 10:28:26,2024-09-06 10:46:26,0,
161,315,23,alexa,2024-11-19 19:22:46,2024-11-19 19:52:46,0,
162,2400,3,mobile_ios,2024-03-21 21:30:08,2024-03-21 22:00:08,1,1050
163,2080,1,alexa,2024-12-17 04:29:13,2024-12-17 04:30:13,0,
164,2571,7,alexa,2024-09-16 20:30:17,2024-09-16 20:44:17,1,1105
165,1160,21,mobile_ios,2024-06-20 00:07:16,2024-06-20 00:38:16,1,1358
166,2916,16,mobile_ios,2024-12-12 03:37:07,2024-12-12 03:46:07,1,681
167,2650,2,mobile_ios,2024-10-21 09:39:15,2024-10-21 09:47:15,0,
168,2905,4,alexa,2024-03-30 14:49:50,2024-03-30 14:54:50,1,1651
169,2036,19,mobile_ios,2024-08-22 02:56:20,2024-08-22 03:11:20,0,
170,2806,12,google_home,2024-11-20 12:20:25,2024-11-20 12:29:25,1,1267
171,2950,15,mobile_ios,2024-06-29 07:20:23,2024-06-29 07:26:23,0,
172,2759,4,alexa,2024-10-28 20:09:04,2024-10-28 20:16:04,1,419
173,1192,3,mobile_ios,2024-10-10 04:25:36,2024-10-10 04:35:36,1,146
174,2066,2,alexa,2024-10-31 01:09:31,2024-10-31 01:36:31,1,1712
175,2167,11,alexa,2024-03-19 09:07:14,2024-03-19 09:22:14,1,656
176,2964,20,mobile_android,2024-09-14 00:32:02,2024-09-14 00:45:02,1,1127
177,2226,3,mobile_android,2024-12-04 14:35:44,2024-12-04 14:37:44,0,
178,869,13,alexa,2024-09-06 13:14:41,2024-09-06 13:55:41,1,708
179,93,7,google_home,2024-04-26 23:17:46,2024-04-26 23:29:46,0,
180,2177,24,mobile_ios,2024-10-03 16:18:50,2024-10-03 17:02:50,1,1417
181,1650,3,alexa,2024-10-06 09:24:36,2024-10-06 09:30:36,1,1654
182,1434,5,alexa,2024-04-07 08:50:18,2024-04-07 08:51:18,1,1875
183,2204,8,alexa,2024-10-04 09:46:56,2024-10-04 10:19:56,1,1061
184,1726,20,mobile_ios,2024-11-01 06:07:11,2024-11-01 06:09:11,0,
185,1726,15,mobile_ios,2024-09-27 21:15:43,2024-09-27 21:25:43,1,1243
186,1801,3,alexa,2024-05-21 22:34:11,2024-05-21 23:12:11,0,
187,2482,9,mobile_ios,2024-12-02 08:09:40,2024-12-02 08:50:40,1,1313
188,1769,18,mobile_ios,2024-07-31 13:50:57,2024-07-31 13:57:57,1,1405
189,159,7,mobile_ios,2024-05-23 15:28:54,2024-05-23 15:41:54,0,
190,1186,9,mobile_android,2024-08-09 06:29:40,2024-08-09 06:55:40,1,751
191,442,9,google_home,2024-08-04 05:48:46,2024-08-04 05:53:46,1,141
192,1580,4,mobile_ios,2024-10-28 15:17:18,2024-10-28 15:31:18,1,1684
193,2529,21,mobile_ios,2024-07-31 03:40:14,2024-07-31 03:53:14,1,613
194,527,7,mobile_android,2024-11-23 10:28:28,2024-11-23 10:34:28,0,
195,1027,24,mobile_android,2024-11-05 20:25:08,2024-11-05 20:35:08,0,
196,1800,1,mobile_ios,2024-11-19 03:50:37,2024-11-19 04:01:37,1,225
197,736,19,mobile_ios,2024-06-25 07:11:48,2024-06-25 07:25:48,0,
198,2560,8,google_home,2024-12-25 18:11:25,2024-12-25 18:22:25,0,
199,427,11,google_home,2024-07-26 10:23:21,2024-07-26 10:28:21,1,421
200,1844,21,alexa,2024-09-24 15:25:39,2024-09-24 16:00:39,1,593
201,1814,22,mobile_android,2024-11-25 13:10:28,2024-11-25 13:22:28,1,826
202,2302,25,mobile_android,2024-04-13 11:24:18,2024-04-13 11:31:18,0,
203,1082,4,mobile_android,2024-05-07 20:14:33,2024-05-07 20:29:33,0,
204,653,15,alexa,2024-10-14 15:55:25,2024-10-14 15:59:25,1,1551
205,1794,8,alexa,2024-07-19 21:54:13,2024-07-19 22:19:13,0,
206,2165,2,alexa,2024-12-10 03:50:46,2024-12-10 04:14:46,1,1373
207,2459,3,alexa,2024-07-05 06:51:48,2024-07-05 06:54:48,1,1385
208,1446,23,google_home,2024-12-02 20:55:13,2024-12-02 21:05:13,1,601
209,1346,20,google_home,2024-06-14 07:23:42,2024-06-14 07:56:42,1,1121
210,1297,9,google_home,2024-11-10 20:34:04,2024-11-10 20:44:04,0,
211,222,1,mobile_android,2024-12-18 00:18:03,2024-12-18 00:24:03,1,251
212,2413,15,alexa,2024-09-01 21:06:12,2024-09-01 21:12:12,0,
213,2785,1,mobile_ios,2024-12-31 11:18:07,2024-12-31 11:22:07,1,1095
214,385,8,mobile_ios,2024-09-20 06:52:52,2024-09-20 07:03:52,0,
215,270,7,google_home,2024-07-15 20:59:03,2024-07-15 21:02:03,0,
216,1385,8,mobile_android,2024-07-20 09:36:33,2024-07-20 09:55:33,1,393
217,791,8,mobile_ios,2024-12-06 15:38:35,2024-12-06 15:43:35,0,
218,2897,18,mobile_android,2024-07-18 00:54:49,2024-07-18 01:02:49,1,798
219,2703,23,google_home,2024-09-06 08:01:30,2024-09-06 08:24:30,0,
220,501,10,mobile_ios,2024-06-02 23:57:35,2024-06-03 00:01:35,1,474
221,2983,8,google_home,2024-08-10 06:53:48,2024-08-10 07:05:48,0,
222,1891,25,mobile_ios,2024-09-18 20:47:26,2024-09-18 20:51:26,1,1742
223,1787,18,google_home,2024-03-15 08:50:10,2024-03-15 08:53:10,1,365
224,2916,9,mobile_ios,2024-12-12 18:36:32,2024-12-12 18:55:32,0,
225,2300,21,mobile_ios,2024-11-20 06:12:52,2024-11-20 06:34:52,1,1296
226,2375,7,mobile_ios,2024-10-21 14:56:29,2024-10-21 15:03:29,0,
227,1129,1,alexa,2024-08-01 06:15:26,2024-08-01 06:27:26,1,1109
228,2234,12,mobile_ios,2024-08-14 13:13:13,2024-08-14 13:26:13,1,1430
229,1880,3,mobile_android,2024-07-05 00:43:29,2024-07-05 00:48:29,0,
230,2662,18,google_home,2024-10-04 21:55:06,2024-10-04 22:01:06,0,
231,35,4,mobile_ios,2024-10-15 15:30:19,2024-10-15 15:35:19,0,
232,2666,21,google_home,2024-08-13 18:05:17,2024-08-13 18:14:17,1,1881
233,1688,4,mobile_ios,2024-07-19 00:58:08,2024-07-19 01:28:08,1,1515
234,1679,9,google_home,2024-08-13 07:52:04,2024-08-13 07:57:04,1,990
235,2649,15,google_home,2024-05-29 20:39:22,2024-05-29 20:42:22,1,635
236,1920,20,google_home,2024-10-14 07:37:26,2024-10-14 07:39:26,0,
237,885,3,mobile_ios,2024-10-14 13:25:56,2024-10-14 14:01:56,1,1281
238,1975,18,mobile_android,2024-11-14 23:38:18,2024-11-14 23:53:18,1,230
239,1048,9,google_home,2024-11-20 10:55:31,2024-11-20 11:05:31,0,
240,1471,12,alexa,2024-08-31 01:25:57,2024-08-31 01:26:57,1,750
241,1168,11,alexa,2024-09-15 22:45:30,2024-09-15 23:17:30,1,416
242,2678,20,alexa,2024-12-27 06:36:48,2024-12-27 06:57:48,1,318
243,1107,23,alexa,2024-12-05 11:11:12,2024-12-05 11:28:12,1,829
244,1789,18,alexa,2024-06-17 12:35:15,2024-06-17 12:52:15,0,
245,2607,8,google_home,2024-10-28 16:19:19,2024-10-28 16:27:19,1,812
246,1284,11,mobile_ios,2024-07-28 01:25:04,2024-07-28 02:02:04,1,1315
247,2351,13,mobile_ios,2024-12-13 10:59:19,2024-12-13 11:10:19,0,
248,1483,14,alexa,2024-10-25 23:43:53,2024-10-25 23:52:53,0,
249,637,21,alexa,2024-05-02 14:13:40,2024-05-02 14:15:40,0,
250,545,19,mobile_android,2024-12-22 11:35:09,2024-12-22 11:50:09,0,
251,2457,18,alexa,2024-10-07 00:12:34,2024-10-07 00:25:34,0,
252,12,14,mobile_android,2024-12-12 09:20:36,2024-12-12 09:50:36,0,
253,1975,20,mobile_android,2024-11-27 09:27:32,2024-11-27 09:39:32,0,
254,2316,3,google_home,2024-09-15 20:10:26,2024-09-15 20:20:26,0,
255,611,20,google_home,2024-09-30 23:22:51,2024-09-30 23:26:51,1,1856
256,851,4,alexa,2024-10-30 06:35:48,2024-10-30 06:51:48,1,1782
257,2144,11,mobile_ios,2024-12-14 12:18:23,2024-12-14 12:23:23,1,1349
258,1316,20,alexa,2024-08-05 06:21:39,2024-08-05 06:30:39,1,688
259,2379,1,mobile_ios,2024-12-20 15:42:48,2024-12-20 15:51:48,1,1698
260,1408,4,google_home,2024-09-09 03:10:09,2024-09-09 03:24:09,0,
261,39,1,alexa,2024-10-14 17:20:46,2024-10-14 17:31:46,0,
262,1805,2,mobile_ios,2024-08-13 17:28:05,2024-08-13 17:45:05,0,
263,1277,1,google_home,2024-03-02 17:17:10,2024-03-02 17:38:10,0,
264,1839,21,alexa,2024-12-28 08:50:18,2024-12-28 09:00:18,0,
265,1843,3,mobile_android,2024-11-08 07:02:18,2024-11-08 07:08:18,0,
266,1563,9,alexa,2024-12-17 13:05:13,2024-12-17 13:08:13,1,1113
267,2147,21,mobile_ios,2024-10-15 21:32:51,2024-10-15 21:39:51,1,1857
268,2678,22,alexa,2024-10-07 07:33:13,2024-10-07 07:38:13,0,
269,2047,1,alexa,2024-08-03 19:14:08,2024-08-03 19:23:08,0,
270,1739,8,alexa,2024-12-07 19:56:29,2024-12-07 20:23:29,0,
271,2156,4,alexa,2024-05-11 05:53:53,2024-05-11 06:08:53,0,
272,2705,21,alexa,2024-04-13 05:25:35,2024-04-13 05:26:35,0,
273,359,1,alexa,2024-10-16 13:32:14,2024-10-16 13:39:14,1,786
274,1689,24,alexa,2024-12-29 03:30:07,2024-12-29 03:35:07,1,551
275,1959,9,mobile_ios,2024-11-06 10:19:17,2024-11-06 10:30:17,0,
276,428,3,google_home,2024-11-14 14:17:41,2024-11-14 14:43:41,0,
277,2946,20,alexa,2024-06-20 01:18:38,2024-06-20 01:49:38,1,534
278,2095,19,google_home,2024-07-20 17:49:00,2024-07-20 18:01:00,1,385
279,299,15,mobile_ios,2024-05-27 23:10:32,2024-05-27 23:25:32,1,1868
280,1077,1,alexa,2024-04-19 18:37:13,2024-04-19 18:48:13,1,1881
281,2713,16,mobile_android,2024-11-25 17:56:39,2024-11-25 18:00:39,0,
282,1212,20,alexa,2024-10-06 10:23:36,2024-10-06 10:30:36,1,1154
283,2514,13,google_home,2024-07-18 17:11:49,2024-07-18 17:15:49,0,
284,1981,17,mobile_ios,2024-12-07 07:05:33,2024-12-07 07:10:33,1,751
285,1750,3,alexa,2024-11-06 09:08:55,2024-11-06 09:13:55,1,1335
286,2523,9,alexa,2024-05-25 16:53:41,2024-05-25 17:06:41,0,
287,2763,24,mobile_ios,2024-06-21 03:27:20,2024-06-21 03:33:20,0,
288,1768,24,google_home,2024-07-18 10:42:44,2024-07-18 10:53:44,1,1427
289,359,25,alexa,2024-12-10 09:46:52,2024-12-10 09:47:52,0,
290,796,15,alexa,2024-11-13 14:27:26,2024-11-13 14:39:26,0,
291,1935,16,mobile_android,2024-09-26 21:26:35,2024-09-26 21:44:35,1,1397
292,37,16,alexa,2024-11-18 04:30:28,2024-11-18 04:42:28,0,
293,1229,16,alexa,2024-07-28 21:02:04,2024-07-28 21:09:04,1,343
294,1961,1,google_home,2024-08-31 15:21:36,2024-08-31 15:51:36,0,
295,2390,22,google_home,2024-12-12 02:59:13,2024-12-12 03:08:13,0,
296,2259,7,mobile_ios,2024-06-22 02:51:39,2024-06-22 02:57:39,0,
297,1838,22,alexa,2024-12-24 14:51:58,2024-12-24 15:02:58,1,863
298,671,8,mobile_ios,2024-04-28 16:54:52,2024-04-28 17:09:52,0,
299,611,19,google_home,2024-10-28 17:30:53,2024-10-28 17:39:53,0,
300,1945,21,google_home,2024-12-15 02:22:02,2024-12-15 02:33:02,1,1457
301,2459,12,alexa,2024-11-16 13:36:41,2024-11-16 13:37:41,0,
302,1249,20,mobile_ios,2024-10-29 07:26:56,2024-10-29 08:09:56,1,1874
303,1668,8,alexa,2024-10-14 08:02:38,2024-10-14 08:12:38,1,438
304,2256,1,mobile_android,2024-09-14 09:48:13,2024-09-14 09:55:13,1,1973
305,2269,23,mobile_android,2024-12-27 06:40:13,2024-12-27 06:49:13,0,
306,213,3,alexa,2024-12-15 23:09:50,2024-12-15 23:19:50,0,
307,908,8,mobile_android,2024-07-21 04:40:53,2024-07-21 04:49:53,1,1961
308,1432,7,alexa,2024-12-19 02:10:18,2024-12-19 02:12:18,0,
309,2729,3,mobile_android,2024-09-07 15:07:16,2024-09-07 15:45:16,1,833
310,568,12,google_home,2024-11-16 13:35:28,2024-11-16 14:02:28,1,1517
311,163,8,google_home,2024-10-24 23:22:51,2024-10-24 23:35:51,0,
312,791,19,mobile_ios,2024-07-01 14:48:54,2024-07-01 14:49:54,0,
313,2722,8,mobile_ios,2024-10-10 11:29:19,2024-10-10 11:31:19,1,1830
314,336,12,alexa,2024-06-04 15:17:07,2024-06-04 15:35:07,0,
315,2513,9,alexa,2024-09-12 19:13:12,2024-09-12 19:31:12,1,627
316,1631,13,google_home,2024-12-27 06:47:37,2024-12-27 06:52:37,1,1804
317,1307,1,mobile_ios,2024-08-29 20:35:15,2024-08-29 20:52:15,0,
318,937,1,mobile_ios,2024-12-08 09:28:34,2024-12-08 10:02:34,1,957
319,1336,17,alexa,2024-08-23 10:48:59,2024-08-23 10:57:59,1,285
320,2046,16,mobile_ios,2024-05-27 13:34:03,2024-05-27 13:48:03,1,1491
321,443,4,mobile_ios,2024-05-12 06:14:43,2024-05-12 06:23:43,1,875
322,1439,15,google_home,2024-07-17 00:46:36,2024-07-17 00:55:36,1,274
323,1612,18,google_home,2024-12-15 23:05:17,2024-12-15 23:42:17,1,178
324,2127,21,alexa,2024-12-29 17:21:29,2024-12-29 17:33:29,1,1499
325,1800,24,mobile_ios,2024-12-07 07:42:06,2024-12-07 08:14:06,1,431
326,1574,21,google_home,2024-04-12 18:14:45,2024-04-12 18:44:45,1,300
327,1823,6,mobile_android,2024-10-13 22:20:01,2024-10-13 22:32:01,1,1682
328,76,3,alexa,2024-12-12 12:01:27,2024-12-12 12:06:27,0,
329,1907,18,google_home,2024-11-23 12:47:52,2024-11-23 12:48:52,0,
330,540,3,mobile_android,2024-10-05 23:04:32,2024-10-05 23:34:32,0,
331,936,8,google_home,2024-05-10 12:57:55,2024-05-10 13:24:55,1,1428
332,2379,7,mobile_ios,2024-12-10 20:06:42,2024-12-10 20:21:42,1,1556
333,2234,5,mobile_ios,2024-10-26 19:20:30,2024-10-26 19:36:30,0,
334,2070,11,mobile_android,2024-05-12 10:18:50,2024-05-12 10:24:50,1,1217
