revenue_id,campaign_id,advertiser_id,advertiser_name,business_category,revenue_date,impressions,clicks,conversions,revenue_amount,advertiser_spend,cpm,cpc,cpa,ctr,conversion_rate,created_at
28,11,10,Andrews-Harvey,Pet Services,2025-09-24,4510,269,33,2684.97,1737.8,595.34,9.98,81.36,5.96,12.27,2025-09-24 23:59:00
29,11,10,Andrews-Harvey,Pet Services,2025-09-25,2234,64,4,337.07,237.46,150.88,5.27,84.27,2.86,6.25,2025-09-25 23:59:00
30,11,10,Andrews-Harvey,Pet Services,2025-09-26,2026,211,19,1594.76,1289.78,787.15,7.56,83.93,10.41,9.0,2025-09-26 23:59:00
31,11,10,Andrews-Harvey,Pet Services,2025-09-27,3956,562,80,5929.53,4570.56,1498.87,10.55,74.12,14.21,14.23,2025-09-27 23:59:00
32,11,10,Andrews-Harvey,Pet Services,2025-09-28,659,52,2,159.65,105.33,242.26,3.07,79.83,7.89,3.85,2025-09-28 23:59:00
33,11,10,Andrews-Harvey,Pet Services,2025-09-29,1956,292,20,1567.61,1172.51,801.44,5.37,78.38,14.93,6.85,2025-09-29 23:59:00
34,11,10,Andrews-Harvey,Pet Services,2025-09-30,1748,217,11,691.92,478.31,395.84,3.19,62.9,12.41,5.07,2025-09-30 23:59:00
35,11,10,Andrews-Harvey,Pet Services,2025-10-01,3674,515,65,5730.11,4572.72,1559.64,11.13,88.16,14.02,12.62,2025-10-01 23:59:00
36,11,10,Andrews-Harvey,Pet Services,2025-10-02,365,54,8,542.73,375.89,1486.93,10.05,67.84,14.79,14.81,2025-10-02 23:59:00
37,11,10,Andrews-Harvey,Pet Services,2025-10-03,4842,461,62,5183.71,4363.64,1070.57,11.24,83.61,9.52,13.45,2025-10-03 23:59:00
38,11,10,Andrews-Harvey,Pet Services,2025-10-04,886,71,10,623.19,389.06,703.37,8.78,62.32,8.01,14.08,2025-10-04 23:59:00
39,11,10,Andrews-Harvey,Pet Services,2025-10-05,3028,429,31,2666.76,1727.9,880.7,6.22,86.02,14.17,7.23,2025-10-05 23:59:00
40,11,10,Andrews-Harvey,Pet Services,2025-10-06,2450,320,38,3003.77,1833.35,1226.03,9.39,79.05,13.06,11.88,2025-10-06 23:59:00
41,11,10,Andrews-Harvey,Pet Services,2025-10-07,761,57,11,839.56,670.87,1103.23,14.73,76.32,7.49,19.3,2025-10-07 23:59:00
42,11,10,Andrews-Harvey,Pet Services,2025-10-08,3012,323,43,3008.03,2216.24,998.68,9.31,69.95,10.72,13.31,2025-10-08 23:59:00
43,11,10,Andrews-Harvey,Pet Services,2025-10-09,2742,367,39,2566.84,1816.42,936.12,6.99,65.82,13.38,10.63,2025-10-09 23:59:00
44,11,10,Andrews-Harvey,Pet Services,2025-10-10,421,30,2,179.24,111.95,425.75,5.97,89.62,7.13,6.67,2025-10-10 23:59:00
45,11,10,Andrews-Harvey,Pet Services,2025-10-11,3888,481,62,5145.39,3134.11,1323.4,10.7,82.99,12.37,12.89,2025-10-11 23:59:00
46,11,10,Andrews-Harvey,Pet Services,2025-10-12,2301,54,6,464.47,361.25,201.86,8.6,77.41,2.35,11.11,2025-10-12 23:59:00
47,11,10,Andrews-Harvey,Pet Services,2025-10-13,4005,524,113,7788.68,4825.25,1944.74,14.86,68.93,13.08,21.56,2025-10-13 23:59:00
48,11,10,Andrews-Harvey,Pet Services,2025-10-14,3819,486,26,1783.05,1401.52,466.89,3.67,68.58,12.73,5.35,2025-10-14 23:59:00
49,11,10,Andrews-Harvey,Pet Services,2025-10-15,148,17,0,0.0,0.0,0.0,0.0,0.0,11.49,0.0,2025-10-15 23:59:00
50,11,10,Andrews-Harvey,Pet Services,2025-10-16,2831,270,44,3681.38,2653.11,1300.38,13.63,83.67,9.54,16.3,2025-10-16 23:59:00
51,11,10,Andrews-Harvey,Pet Services,2025-10-17,1648,105,9,649.43,513.63,394.07,6.19,72.16,6.37,8.57,2025-10-17 23:59:00
52,11,10,Andrews-Harvey,Pet Services,2025-10-18,2949,290,25,2273.22,1448.05,770.84,7.84,90.93,9.83,8.62,2025-10-18 23:59:00
53,11,10,Andrews-Harvey,Pet Services,2025-10-19,3499,493,53,4797.59,3019.07,1371.13,9.73,90.52,14.09,10.75,2025-10-19 23:59:00
54,11,10,Andrews-Harvey,Pet Services,2025-10-20,4249,121,11,692.5,499.46,162.98,5.72,62.95,2.85,9.09,2025-10-20 23:59:00
55,11,10,Andrews-Harvey,Pet Services,2025-10-21,4400,353,80,5891.57,3572.4,1338.99,16.69,73.64,8.02,22.66,2025-10-21 23:59:00
56,11,10,Andrews-Harvey,Pet Services,2025-10-22,855,120,9,770.05,555.24,900.64,6.42,85.56,14.04,7.5,2025-10-22 23:59:00
57,11,10,Andrews-Harvey,Pet Services,2025-10-23,3453,464,102,8009.23,4906.18,2319.5,17.26,78.52,13.44,21.98,2025-10-23 23:59:00
58,11,10,Andrews-Harvey,Pet Services,2025-10-24,3670,504,68,6147.24,3995.05,1675.0,12.2,90.4,13.73,13.49,2025-10-24 23:59:00
59,11,10,Andrews-Harvey,Pet Services,2025-10-25,3231,302,67,4532.58,3712.86,1402.84,15.01,67.65,9.35,22.19,2025-10-25 23:59:00
60,11,10,Andrews-Harvey,Pet Services,2025-10-26,4922,257,14,1053.96,811.61,214.13,4.1,75.28,5.22,5.45,2025-10-26 23:59:00
61,11,10,Andrews-Harvey,Pet Services,2025-10-27,1646,185,42,2796.63,2004.67,1699.05,15.12,66.59,11.24,22.7,2025-10-27 23:59:00
62,11,10,Andrews-Harvey,Pet Services,2025-10-28,3397,294,21,1360.92,1048.85,400.62,4.63,64.81,8.65,7.14,2025-10-28 23:59:00
63,11,10,Andrews-Harvey,Pet Services,2025-10-29,3636,516,89,7730.24,6035.95,2126.03,14.98,86.86,14.19,17.25,2025-10-29 23:59:00
64,11,10,Andrews-Harvey,Pet Services,2025-10-30,3508,284,28,2510.74,1608.08,715.72,8.84,89.67,8.1,9.86,2025-10-30 23:59:00
65,11,10,Andrews-Harvey,Pet Services,2025-10-31,4525,235,48,3765.23,2970.82,832.1,16.02,78.44,5.19,20.43,2025-10-31 23:59:00
66,11,10,Andrews-Harvey,Pet Services,2025-11-01,4277,304,30,1929.36,1454.34,451.1,6.35,64.31,7.11,9.87,2025-11-01 23:59:00
67,11,10,Andrews-Harvey,Pet Services,2025-11-02,1044,83,17,1234.98,850.55,1182.93,14.88,72.65,7.95,20.48,2025-11-02 23:59:00
68,11,10,Andrews-Harvey,Pet Services,2025-11-03,2637,274,16,1071.44,907.14,406.31,3.91,66.97,10.39,5.84,2025-11-03 23:59:00
69,11,10,Andrews-Harvey,Pet Services,2025-11-04,4223,215,14,900.41,617.42,213.22,4.19,64.31,5.09,6.51,2025-11-04 23:59:00
70,11,10,Andrews-Harvey,Pet Services,2025-11-05,2776,218,30,1947.99,1411.44,701.73,8.94,64.93,7.85,13.76,2025-11-05 23:59:00
71,11,10,Andrews-Harvey,Pet Services,2025-11-06,169,4,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2025-11-06 23:59:00
72,11,10,Andrews-Harvey,Pet Services,2025-11-07,3167,310,65,5295.79,4051.86,1672.18,17.08,81.47,9.79,20.97,2025-11-07 23:59:00
73,11,10,Andrews-Harvey,Pet Services,2025-11-08,1047,91,20,1604.94,1276.59,1532.89,17.64,80.25,8.69,21.98,2025-11-08 23:59:00
74,11,10,Andrews-Harvey,Pet Services,2025-11-09,4557,279,37,3407.29,2320.82,747.7,12.21,92.09,6.12,13.26,2025-11-09 23:59:00
75,11,10,Andrews-Harvey,Pet Services,2025-11-10,2325,207,46,3403.26,2550.62,1463.77,16.44,73.98,8.9,22.22,2025-11-10 23:59:00
76,11,10,Andrews-Harvey,Pet Services,2025-11-11,3262,181,45,3930.09,3324.38,1204.81,21.71,87.34,5.55,24.86,2025-11-11 23:59:00
77,11,10,Andrews-Harvey,Pet Services,2025-11-12,3168,116,10,772.5,562.49,243.84,6.66,77.25,3.66,8.62,2025-11-12 23:59:00
78,11,10,Andrews-Harvey,Pet Services,2025-11-13,4660,584,66,4670.26,3402.95,1002.2,8.0,70.76,12.53,11.3,2025-11-13 23:59:00
79,11,10,Andrews-Harvey,Pet Services,2025-11-14,977,31,1,89.02,65.56,91.12,2.87,89.02,3.17,3.23,2025-11-14 23:59:00
80,11,10,Andrews-Harvey,Pet Services,2025-11-15,3959,367,32,2490.31,1504.03,629.03,6.79,77.82,9.27,8.72,2025-11-15 23:59:00
81,11,10,Andrews-Harvey,Pet Services,2025-11-16,1684,101,7,612.06,481.27,363.46,6.06,87.44,6.0,6.93,2025-11-16 23:59:00
82,11,10,Andrews-Harvey,Pet Services,2025-11-17,1858,98,14,1134.12,685.66,610.4,11.57,81.01,5.27,14.29,2025-11-17 23:59:00
83,11,10,Andrews-Harvey,Pet Services,2025-11-18,1833,144,13,1120.82,759.3,611.47,7.78,86.22,7.86,9.03,2025-11-18 23:59:00
84,11,10,Andrews-Harvey,Pet Services,2025-11-19,1085,129,10,641.17,534.3,590.94,4.97,64.12,11.89,7.75,2025-11-19 23:59:00
85,11,10,Andrews-Harvey,Pet Services,2025-11-20,1634,232,19,1634.97,1380.27,1000.59,7.05,86.05,14.2,8.19,2025-11-20 23:59:00
86,11,10,Andrews-Harvey,Pet Services,2025-11-21,4998,443,104,9213.0,5852.68,1843.34,20.8,88.59,8.86,23.48,2025-11-21 23:59:00
87,11,10,Andrews-Harvey,Pet Services,2025-11-22,3133,379,26,1899.46,1420.16,606.28,5.01,73.06,12.1,6.86,2025-11-22 23:59:00
88,11,10,Andrews-Harvey,Pet Services,2025-11-23,617,60,12,1019.57,700.87,1652.46,16.99,84.96,9.72,20.0,2025-11-23 23:59:00
89,11,10,Andrews-Harvey,Pet Services,2025-11-24,1315,35,7,566.0,385.18,430.42,16.17,80.86,2.66,20.0,2025-11-24 23:59:00
90,11,10,Andrews-Harvey,Pet Services,2025-11-25,4895,696,98,7266.35,4818.96,1484.44,10.44,74.15,14.22,14.08,2025-11-25 23:59:00
91,15,12,Norman Ltd,Beauty & Spa,2025-09-25,1232,53,5,328.99,218.17,267.04,6.21,65.8,4.3,9.43,2025-09-25 23:59:00
92,15,12,Norman Ltd,Beauty & Spa,2025-09-26,219,15,1,122.13,99.88,557.67,8.14,122.13,6.85,6.67,2025-09-26 23:59:00
93,15,12,Norman Ltd,Beauty & Spa,2025-09-27,2450,81,7,728.0,511.28,297.14,8.99,104.0,3.31,8.64,2025-09-27 23:59:00
94,15,12,Norman Ltd,Beauty & Spa,2025-09-28,1155,74,14,621.07,431.89,537.72,8.39,44.36,6.41,18.92,2025-09-28 23:59:00
95,15,12,Norman Ltd,Beauty & Spa,2025-09-29,2411,269,45,1641.57,1153.17,680.87,6.1,36.48,11.16,16.73,2025-09-29 23:59:00
96,15,12,Norman Ltd,Beauty & Spa,2025-09-30,2561,123,15,913.74,718.67,356.79,7.43,60.92,4.8,12.2,2025-09-30 23:59:00
97,15,12,Norman Ltd,Beauty & Spa,2025-10-01,2883,372,20,3195.43,2022.64,1108.37,8.59,159.77,12.9,5.38,2025-10-01 23:59:00
98,15,12,Norman Ltd,Beauty & Spa,2025-10-02,1596,62,12,510.92,349.0,320.13,8.24,42.58,3.88,19.35,2025-10-02 23:59:00
99,24,4,Carter PLC,Real Estate,2025-09-16,3807,209,52,1388.16,847.37,364.63,6.64,26.7,5.49,24.88,2025-09-16 23:59:00
100,24,4,Carter PLC,Real Estate,2025-09-17,3362,303,51,1307.91,900.35,389.03,4.32,25.65,9.01,16.83,2025-09-17 23:59:00
101,24,4,Carter PLC,Real Estate,2025-09-18,239,19,3,94.01,62.17,393.35,4.95,31.34,7.95,15.79,2025-09-18 23:59:00
102,24,4,Carter PLC,Real Estate,2025-09-19,1479,36,8,203.92,146.64,137.88,5.66,25.49,2.43,22.22,2025-09-19 23:59:00
103,24,4,Carter PLC,Real Estate,2025-09-20,3876,354,54,1655.29,1209.65,427.06,4.68,30.65,9.13,15.25,2025-09-20 23:59:00
104,24,4,Carter PLC,Real Estate,2025-09-21,192,16,1,23.73,17.27,123.59,1.48,23.73,8.33,6.25,2025-09-21 23:59:00
105,24,4,Carter PLC,Real Estate,2025-09-22,4151,197,25,670.09,418.9,161.43,3.4,26.8,4.75,12.69,2025-09-22 23:59:00
106,24,4,Carter PLC,Real Estate,2025-09-23,3727,496,78,2316.59,1723.79,621.57,4.67,29.7,13.31,15.73,2025-09-23 23:59:00
107,24,4,Carter PLC,Real Estate,2025-09-24,3305,154,36,938.01,739.6,283.82,6.09,26.06,4.66,23.38,2025-09-24 23:59:00
108,24,4,Carter PLC,Real Estate,2025-09-25,2377,96,20,476.42,398.93,200.43,4.96,23.82,4.04,20.83,2025-09-25 23:59:00
109,24,4,Carter PLC,Real Estate,2025-09-26,3408,358,61,1726.38,1215.65,506.57,4.82,28.3,10.5,17.04,2025-09-26 23:59:00
110,24,4,Carter PLC,Real Estate,2025-09-27,3575,333,23,719.43,554.44,201.24,2.16,31.28,9.31,6.91,2025-09-27 23:59:00
111,24,4,Carter PLC,Real Estate,2025-09-28,2307,102,10,274.13,226.91,118.83,2.69,27.41,4.42,9.8,2025-09-28 23:59:00
112,24,4,Carter PLC,Real Estate,2025-09-29,1063,139,15,351.07,260.63,330.26,2.53,23.4,13.08,10.79,2025-09-29 23:59:00
113,24,4,Carter PLC,Real Estate,2025-09-30,4631,155,30,788.9,598.27,170.35,5.09,26.3,3.35,19.35,2025-09-30 23:59:00
114,24,4,Carter PLC,Real Estate,2025-10-01,711,80,6,170.57,133.02,239.9,2.13,28.43,11.25,7.5,2025-10-01 23:59:00
115,24,4,Carter PLC,Real Estate,2025-10-02,2946,332,55,1531.17,1175.4,519.75,4.61,27.84,11.27,16.57,2025-10-02 23:59:00
116,24,4,Carter PLC,Real Estate,2025-10-03,207,16,1,28.02,22.87,135.36,1.75,28.02,7.73,6.25,2025-10-03 23:59:00
117,24,4,Carter PLC,Real Estate,2025-10-04,4996,519,58,1341.44,1011.28,268.5,2.58,23.13,10.39,11.18,2025-10-04 23:59:00
118,24,4,Carter PLC,Real Estate,2025-10-05,1297,125,16,396.63,250.12,305.81,3.17,24.79,9.64,12.8,2025-10-05 23:59:00
119,24,4,Carter PLC,Real Estate,2025-10-06,257,22,1,27.65,22.27,107.59,1.26,27.65,8.56,4.55,2025-10-06 23:59:00
120,24,4,Carter PLC,Real Estate,2025-10-07,534,28,2,65.46,48.33,122.58,2.34,32.73,5.24,7.14,2025-10-07 23:59:00
121,24,4,Carter PLC,Real Estate,2025-10-08,4665,543,31,962.18,601.47,206.26,1.77,31.04,11.64,5.71,2025-10-08 23:59:00
122,24,4,Carter PLC,Real Estate,2025-10-09,4177,624,100,2279.46,1921.95,545.72,3.65,22.79,14.94,16.03,2025-10-09 23:59:00
123,24,4,Carter PLC,Real Estate,2025-10-10,4033,301,21,587.39,468.54,145.65,1.95,27.97,7.46,6.98,2025-10-10 23:59:00
124,24,4,Carter PLC,Real Estate,2025-10-11,1818,83,14,404.7,254.95,222.61,4.88,28.91,4.57,16.87,2025-10-11 23:59:00
125,24,4,Carter PLC,Real Estate,2025-10-12,4312,450,34,773.64,619.77,179.42,1.72,22.75,10.44,7.56,2025-10-12 23:59:00
126,24,4,Carter PLC,Real Estate,2025-10-13,2273,236,41,940.29,763.81,413.68,3.98,22.93,10.38,17.37,2025-10-13 23:59:00
127,24,4,Carter PLC,Real Estate,2025-10-14,2554,257,13,382.11,254.84,149.61,1.49,29.39,10.06,5.06,2025-10-14 23:59:00
128,24,4,Carter PLC,Real Estate,2025-10-15,977,90,17,492.14,336.87,503.73,5.47,28.95,9.21,18.89,2025-10-15 23:59:00
129,24,4,Carter PLC,Real Estate,2025-10-16,749,91,6,146.87,119.12,196.09,1.61,24.48,12.15,6.59,2025-10-16 23:59:00
130,24,4,Carter PLC,Real Estate,2025-10-17,4124,168,34,817.93,519.4,198.33,4.87,24.06,4.07,20.24,2025-10-17 23:59:00
131,24,4,Carter PLC,Real Estate,2025-10-18,3680,525,77,2088.35,1698.96,567.49,3.98,27.12,14.27,14.67,2025-10-18 23:59:00
132,24,4,Carter PLC,Real Estate,2025-10-19,4747,428,38,1252.47,884.56,263.84,2.93,32.96,9.02,8.88,2025-10-19 23:59:00
133,28,44,"Lloyd, Williams and Lin",Pet Services,2025-09-25,455,63,14,4.7,3.06,10.33,0.07,0.34,13.85,22.22,2025-09-25 23:59:00
134,28,44,"Lloyd, Williams and Lin",Pet Services,2025-09-26,4800,164,32,49.57,40.65,10.33,0.3,1.55,3.42,19.51,2025-09-26 23:59:00
135,28,44,"Lloyd, Williams and Lin",Pet Services,2025-09-27,2178,264,61,17.1,13.46,7.85,0.06,0.28,12.12,23.11,2025-09-27 23:59:00
136,28,44,"Lloyd, Williams and Lin",Pet Services,2025-09-28,835,47,8,7.52,5.74,9.01,0.16,0.94,5.63,17.02,2025-09-28 23:59:00
137,28,44,"Lloyd, Williams and Lin",Pet Services,2025-09-29,4157,160,24,40.6,31.68,9.77,0.25,1.69,3.85,15.0,2025-09-29 23:59:00
138,28,44,"Lloyd, Williams and Lin",Pet Services,2025-09-30,1396,73,4,11.26,7.24,8.07,0.15,2.81,5.23,5.48,2025-09-30 23:59:00
139,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-01,2940,340,22,29.24,23.04,9.95,0.09,1.33,11.56,6.47,2025-10-01 23:59:00
140,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-02,3543,249,48,37.28,30.23,10.52,0.15,0.78,7.03,19.28,2025-10-02 23:59:00
141,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-03,1196,163,36,8.8,7.24,7.36,0.05,0.24,13.63,22.09,2025-10-03 23:59:00
142,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-04,4521,633,93,40.24,25.5,8.9,0.06,0.43,14.0,14.69,2025-10-04 23:59:00
143,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-05,1783,49,11,17.96,11.7,10.07,0.37,1.63,2.75,22.45,2025-10-05 23:59:00
144,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-06,2130,65,14,21.12,15.0,9.92,0.32,1.51,3.05,21.54,2025-10-06 23:59:00
145,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-07,1373,59,14,10.02,6.71,7.3,0.17,0.72,4.3,23.73,2025-10-07 23:59:00
146,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-08,3161,82,12,25.16,16.44,7.96,0.31,2.1,2.59,14.63,2025-10-08 23:59:00
147,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-09,3072,222,34,26.89,18.03,8.75,0.12,0.79,7.23,15.32,2025-10-09 23:59:00
148,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-10,4011,435,34,32.09,23.53,8.0,0.07,0.94,10.85,7.82,2025-10-10 23:59:00
149,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-11,1044,109,5,9.89,7.79,9.47,0.09,1.98,10.44,4.59,2025-10-11 23:59:00
150,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-12,4270,153,18,35.78,23.66,8.38,0.23,1.99,3.58,11.76,2025-10-12 23:59:00
151,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-13,3168,91,16,33.11,26.98,10.45,0.36,2.07,2.87,17.58,2025-10-13 23:59:00
152,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-14,2735,175,11,21.79,17.48,7.97,0.12,1.98,6.4,6.29,2025-10-14 23:59:00
153,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-15,1699,227,35,12.12,10.19,7.13,0.05,0.35,13.36,15.42,2025-10-15 23:59:00
154,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-16,769,76,13,5.69,4.59,7.4,0.07,0.44,9.88,17.11,2025-10-16 23:59:00
155,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-17,2742,148,28,23.57,14.64,8.6,0.16,0.84,5.4,18.92,2025-10-17 23:59:00
156,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-18,4649,582,74,47.63,35.94,10.25,0.08,0.64,12.52,12.71,2025-10-18 23:59:00
157,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-19,132,18,3,1.14,0.85,8.64,0.06,0.38,13.64,16.67,2025-10-19 23:59:00
158,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-20,501,23,5,4.45,3.5,8.88,0.19,0.89,4.59,21.74,2025-10-20 23:59:00
159,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-21,2318,158,30,20.18,16.53,8.71,0.13,0.67,6.82,18.99,2025-10-21 23:59:00
160,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-22,344,12,2,3.0,2.53,8.72,0.25,1.5,3.49,16.67,2025-10-22 23:59:00
161,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-23,2608,233,58,26.08,19.19,10.0,0.11,0.45,8.93,24.89,2025-10-23 23:59:00
162,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-24,1722,164,11,12.77,8.06,7.42,0.08,1.16,9.52,6.71,2025-10-24 23:59:00
163,28,44,"Lloyd, Williams and Lin",Pet Services,2025-10-25,3179,225,46,32.99,24.23,10.38,0.15,0.72,7.08,20.44,2025-10-25 23:59:00
164,41,49,Kirby-Haney,Education,2025-09-16,1132,75,4,168.04,117.7,148.45,2.24,42.01,6.63,5.33,2025-09-16 23:59:00
165,41,49,Kirby-Haney,Education,2025-09-17,2356,194,21,688.98,498.58,292.44,3.55,32.81,8.23,10.82,2025-09-17 23:59:00
166,41,49,Kirby-Haney,Education,2025-09-18,1065,107,23,757.82,579.25,711.57,7.08,32.95,10.05,21.5,2025-09-18 23:59:00
167,41,49,Kirby-Haney,Education,2025-09-19,3611,533,72,2840.62,1732.43,786.66,5.33,39.45,14.76,13.51,2025-09-19 23:59:00
168,41,49,Kirby-Haney,Education,2025-09-20,3654,520,54,1802.49,1528.13,493.29,3.47,33.38,14.23,10.38,2025-09-20 23:59:00
169,41,49,Kirby-Haney,Education,2025-09-21,662,97,9,272.78,221.46,412.05,2.81,30.31,14.65,9.28,2025-09-21 23:59:00
170,41,49,Kirby-Haney,Education,2025-09-22,3544,213,37,1370.9,965.86,386.82,6.44,37.05,6.01,17.37,2025-09-22 23:59:00
171,41,49,Kirby-Haney,Education,2025-09-23,4070,515,122,5354.97,3803.9,1315.72,10.4,43.89,12.65,23.69,2025-09-23 23:59:00
172,41,49,Kirby-Haney,Education,2025-09-24,3075,267,52,1724.49,1219.92,560.81,6.46,33.16,8.68,19.48,2025-09-24 23:59:00
173,41,49,Kirby-Haney,Education,2025-09-25,2047,129,15,582.35,454.54,284.49,4.51,38.82,6.3,11.63,2025-09-25 23:59:00
174,41,49,Kirby-Haney,Education,2025-09-26,3443,490,95,3287.67,2320.92,954.89,6.71,34.61,14.23,19.39,2025-09-26 23:59:00
175,41,49,Kirby-Haney,Education,2025-09-27,820,32,4,158.19,109.4,192.91,4.94,39.55,3.9,12.5,2025-09-27 23:59:00
176,41,49,Kirby-Haney,Education,2025-09-28,4333,202,31,1094.72,871.3,252.65,5.42,35.31,4.66,15.35,2025-09-28 23:59:00
177,44,24,Juarez-Cunningham,Pet Services,2025-09-16,1729,135,16,1317.29,801.36,761.88,9.76,82.33,7.81,11.85,2025-09-16 23:59:00
178,44,24,Juarez-Cunningham,Pet Services,2025-09-17,4934,339,58,5601.48,3520.69,1135.28,16.52,96.58,6.87,17.11,2025-09-17 23:59:00
