neighborhood_id,name,city,state,zip_code,population,households,median_income,neighborhood_type,latitude,longitude,created_at
40,West Erik Grove,South Monicafort,IN,26659,65068,24126,71209,Urban,29.902549,-110.413977,2023-04-07
41,Baileybury Park,North Donna,MO,43526,50745,17470,141869,Urban,35.078245,-95.123012,2021-02-10
42,Port Joshuahaven Grove,Frazierside,MA,04118,44651,16602,47050,Suburban,37.755852,-73.753418,2020-06-17
43,Gregoryview Park,North Candacestad,VA,41615,18577,6294,114328,Urban,27.461827,-94.5727,2021-09-29
44,South Rachelborough Park,Bradleychester,AL,68647,40697,16779,134884,Urban,39.587473,-110.480885,2023-09-13
45,West Ryan Heights,Cindyville,VA,39864,69032,28752,69195,Suburban,44.075006,-122.575228,2022-01-10
46,Nguyenport Village,East Robert,MS,89278,48719,17295,87357,Suburban,37.68865,-101.477219,2022-12-28
47,New Ashley Park,Kelleytown,ME,38107,6267,2737,54444,Rural,38.39772,-116.854842,2020-11-02
48,Stevenmouth Village,New Thomas,MH,96964,21704,9717,55458,Rural,29.83176,-111.275864,2020-09-04
49,West Zacharymouth Grove,Port Stephaniebury,TX,41188,18473,7439,151529,Rural,42.237985,-74.08299,2020-11-23
50,East Andrew Park,South Cheryl,WI,10046,36029,12459,153080,Urban,41.940983,-106.729799,2021-10-26
