impression_id,campaign_id,user_id,neighborhood_id,ad_type,ad_placement,device_type,is_viewable,view_duration_seconds,session_id,created_at
76,197,3515,40,Local Deal,Search Results,Mobile,True,1,c9c223dd,2025-05-08 07:42:37
77,1,2723,46,Local Deal,Right Rail,Mobile,True,4,d9ecbdef,2025-04-12 19:19:32
78,62,729,31,Video,Notification,Tablet,True,6,a278b6b3,2025-09-11 20:40:09
79,107,1933,15,Local Deal,Search Results,Tablet,True,3,ec506267,2025-08-29 17:42:05
80,136,4796,42,Sponsored Post,Notification,Tablet,True,34,c26172af,2025-06-07 22:48:37
81,65,1198,34,Display,Search Results,Mobile,False,3,4ecc4285,2025-09-22 19:44:51
82,73,4443,23,Native,Right Rail,Mobile,False,5,2767e67d,2025-08-05 21:22:00
83,57,4896,8,Sponsored Post,Right Rail,Tablet,True,10,12a5eb04,2025-08-10 16:02:14
84,127,4261,18,Display,Right Rail,Desktop,True,23,67e3a63b,2025-09-21 15:18:39
85,154,2441,30,Display,Notification,Tablet,True,1,2808d39c,2025-08-07 10:16:30
86,130,1201,13,Video,Right Rail,Tablet,True,10,afc2fbd8,2025-07-27 01:49:23
87,101,675,13,Sponsored Post,Right Rail,Tablet,True,10,6b5c0b8f,2025-03-30 20:22:34
88,185,1647,33,Native,Right Rail,Mobile,True,1,3b5c0147,2025-03-12 03:42:35
89,129,1644,8,Video,Story,Tablet,True,6,92d5fd24,2025-02-06 17:45:10
90,105,965,17,Display,Feed,Mobile,True,0,bc195987,2025-07-02 08:30:25
91,184,521,48,Local Deal,Notification,Desktop,True,21,fd6f6bbb,2025-04-07 05:30:12
92,155,3255,50,Display,Story,Desktop,False,3,5fde222d,2025-08-10 13:28:17
93,167,53,12,Display,Feed,Tablet,True,6,0aab4dfd,2025-04-29 09:41:12
94,58,3525,8,Display,Notification,Desktop,True,7,a0dc9d36,2025-05-21 11:33:05
95,13,1378,49,Local Deal,Notification,Mobile,True,0,55f76709,2025-01-07 22:50:28
96,25,870,37,Video,Story,Tablet,False,0,ab608c64,2025-02-06 05:07:30
97,162,2694,30,Video,Story,Mobile,True,55,94935d51,2025-01-13 22:50:44
98,133,2757,24,Native,Feed,Desktop,True,27,be218d8c,2025-02-17 06:18:50
99,147,2137,6,Video,Notification,Tablet,True,0,ad6aa939,2025-03-09 03:20:46
100,128,3794,25,Local Deal,Feed,Mobile,True,2,7dde6776,2025-03-12 20:56:29
101,81,4071,37,Native,Story,Mobile,True,2,f298c3e6,2025-03-19 17:50:37
102,76,4990,50,Sponsored Post,Search Results,Mobile,True,38,2fbe89b5,2025-08-01 16:31:01
103,41,1135,33,Display,Search Results,Mobile,True,8,f6970b42,2025-08-31 19:59:43
104,83,4109,15,Display,Search Results,Desktop,True,2,6055b448,2025-06-24 05:36:33
105,14,1922,1,Native,Notification,Mobile,False,4,939ab5ba,2025-02-20 12:11:01
106,49,557,44,Video,Feed,Desktop,False,1,5a888409,2025-07-14 14:19:51
107,11,4898,45,Display,Notification,Desktop,True,3,cbec7ade,2025-09-17 11:01:25
108,70,4669,36,Video,Notification,Mobile,True,10,0865fcaa,2025-07-10 06:24:43
109,24,3853,37,Native,Search Results,Mobile,True,54,378c8d32,2025-09-18 10:44:16
110,52,1335,48,Sponsored Post,Right Rail,Desktop,True,6,749714b8,2025-02-26 17:18:01
111,86,3638,48,Video,Notification,Desktop,True,24,777f11dd,2025-08-18 16:39:41
112,88,3346,30,Native,Search Results,Mobile,True,45,ded0e35b,2025-09-16 18:39:52
113,39,1603,12,Display,Story,Tablet,False,4,bbdf0f51,2025-05-17 11:40:09
114,71,1810,30,Display,Feed,Tablet,True,6,8a6dbf9e,2025-06-21 14:59:34
115,41,27,16,Display,Notification,Desktop,True,57,c614abc9,2025-09-19 22:03:17
116,6,1435,39,Local Deal,Story,Desktop,True,7,789eae24,2025-04-16 08:36:10
117,132,3409,16,Sponsored Post,Right Rail,Tablet,True,38,36a3005c,2025-07-13 08:54:00
118,13,3785,45,Local Deal,Search Results,Desktop,True,33,0eaebd1c,2025-01-31 20:02:27
119,129,4361,23,Video,Story,Tablet,True,33,087852b3,2025-01-18 15:01:15
120,41,4824,27,Display,Notification,Desktop,True,45,949dee62,2025-09-17 20:57:03
121,199,4223,44,Display,Feed,Tablet,True,2,5d364d8e,2025-03-21 17:33:07
122,65,790,33,Display,Notification,Mobile,False,5,77283467,2025-09-23 10:28:46
123,151,2555,8,Sponsored Post,Search Results,Desktop,True,10,cbb03667,2025-02-26 15:01:02
124,18,4229,35,Display,Notification,Tablet,False,2,3dfdd1a8,2025-06-01 08:13:37
125,164,644,10,Local Deal,Story,Mobile,True,2,ae6752dd,2025-11-13 21:30:02
126,37,412,3,Native,Right Rail,Desktop,True,0,08de63c0,2025-01-13 09:15:05
127,89,2501,9,Sponsored Post,Feed,Mobile,True,7,b6812877,2025-08-08 08:25:30
128,82,4904,45,Local Deal,Right Rail,Mobile,True,2,be5adcc4,2025-09-22 09:31:01
129,79,4362,44,Sponsored Post,Feed,Mobile,True,2,7792c19b,2025-03-21 20:12:01
130,6,2911,42,Local Deal,Story,Desktop,True,4,92204bde,2025-04-19 05:21:47
131,32,3782,40,Local Deal,Notification,Tablet,True,48,e244072a,2025-08-05 19:38:34
132,165,2833,21,Native,Search Results,Mobile,True,1,62b1f4b7,2025-05-31 10:35:43
133,200,2411,31,Local Deal,Right Rail,Mobile,True,0,4fd6b653,2025-02-27 08:34:25
134,9,4625,4,Video,Story,Mobile,True,44,2618cd94,2025-01-21 13:59:44
135,11,4157,6,Display,Feed,Mobile,False,1,c2020122,2025-11-21 10:03:26
136,172,943,3,Video,Right Rail,Mobile,True,1,4b337700,2025-09-26 13:02:51
137,22,3789,42,Video,Right Rail,Desktop,True,8,cbd3ff4e,2025-06-19 19:03:29
138,199,1730,1,Display,Feed,Tablet,True,9,087a9725,2025-03-31 19:26:46
139,88,649,2,Native,Story,Mobile,True,0,ecb49e6e,2025-09-16 08:24:12
140,160,2817,1,Display,Feed,Desktop,True,10,524666a6,2025-07-20 09:22:47
141,96,3752,9,Local Deal,Feed,Desktop,True,1,3cd7852e,2025-08-19 08:36:51
142,111,1306,26,Native,Search Results,Mobile,True,10,c0c5364a,2025-07-03 23:29:58
143,86,2925,24,Video,Story,Mobile,True,0,5353d00f,2025-08-01 03:58:03
144,42,684,5,Local Deal,Notification,Tablet,True,8,4b4a8a3a,2025-04-04 09:22:30
145,21,690,30,Video,Story,Desktop,True,0,df50a8c9,2025-07-30 09:09:54
146,103,2197,29,Video,Search Results,Mobile,True,1,e952584b,2025-07-31 18:49:04
147,91,2106,7,Display,Notification,Mobile,True,1,3c3de558,2025-07-17 05:33:51
148,96,521,48,Local Deal,Search Results,Desktop,True,18,7c37460c,2025-07-28 09:19:31
149,17,915,43,Native,Search Results,Tablet,True,1,d0712f17,2025-05-02 10:28:51
150,90,3413,1,Video,Right Rail,Mobile,True,1,58fefb04,2025-10-07 20:57:45
151,101,3450,7,Sponsored Post,Search Results,Desktop,True,5,2db5322b,2025-04-29 20:45:45
152,89,843,12,Sponsored Post,Right Rail,Mobile,True,0,98cb7162,2025-08-12 20:02:53
153,38,4548,47,Video,Notification,Tablet,True,7,217837be,2025-03-27 22:31:22
154,46,4032,29,Video,Search Results,Desktop,True,6,59206dbd,2025-08-30 13:24:42
155,14,972,12,Native,Search Results,Desktop,False,2,716db197,2025-02-06 09:44:32
156,136,1038,48,Sponsored Post,Search Results,Tablet,False,7,edcb6296,2025-06-05 10:09:10
157,167,2721,21,Display,Right Rail,Desktop,True,1,adfca24b,2025-04-24 21:18:46
158,59,399,19,Native,Feed,Tablet,True,3,dce26a5c,2025-01-11 17:12:20
159,157,708,43,Local Deal,Story,Desktop,True,7,e5ec4e5b,2025-01-28 16:27:23
160,166,3941,19,Local Deal,Story,Desktop,True,2,3c4d336e,2025-05-04 16:14:30
161,50,2425,12,Display,Feed,Desktop,True,0,8f43a702,2025-04-02 23:13:48
162,101,2017,21,Sponsored Post,Story,Desktop,True,23,0c32dc94,2025-04-05 21:21:03
163,46,2827,32,Video,Right Rail,Mobile,False,2,31cb3704,2025-08-25 23:02:08
164,52,1829,35,Sponsored Post,Feed,Tablet,True,3,a2b0c2d2,2025-03-03 10:20:00
165,127,3497,49,Display,Notification,Desktop,True,3,2eb8cad9,2025-09-22 17:36:39
166,72,3056,9,Local Deal,Right Rail,Tablet,True,0,61ee5c12,2025-04-24 07:25:21
167,179,1951,40,Local Deal,Right Rail,Tablet,True,5,05aa525d,2025-08-11 18:49:00
168,123,662,12,Local Deal,Story,Mobile,True,3,3d13af9e,2025-03-17 08:12:25
169,126,3206,24,Video,Feed,Desktop,True,2,24a38914,2025-08-23 20:41:26
170,117,3897,42,Local Deal,Notification,Tablet,True,0,33a37ae6,2025-07-25 22:18:57
171,192,1150,48,Display,Story,Mobile,True,12,47e9f13f,2025-08-05 09:00:11
172,158,3789,42,Video,Search Results,Desktop,True,0,8f70c4f3,2025-05-23 11:40:37
173,166,696,1,Local Deal,Right Rail,Desktop,True,8,cd3dc01a,2025-04-29 20:51:49
174,41,1922,1,Display,Search Results,Mobile,False,7,374687fd,2025-08-31 08:38:07
175,96,3653,31,Local Deal,Feed,Desktop,True,1,2d3204bb,2025-09-23 22:16:00
176,135,2608,5,Display,Notification,Tablet,True,1,2ce898c9,2025-06-06 07:21:45
177,77,258,4,Display,Search Results,Tablet,True,0,b94a6812,2025-10-07 08:58:03
178,170,4094,16,Display,Notification,Mobile,True,7,92116260,2025-07-31 09:44:15
179,73,3316,50,Native,Search Results,Desktop,True,0,6aa57f33,2025-08-07 19:28:42
180,52,3570,39,Sponsored Post,Feed,Desktop,True,7,ba9b7322,2025-03-07 19:32:27
181,177,45,30,Local Deal,Search Results,Mobile,True,40,bb205cd6,2025-10-17 18:59:21
182,67,2974,29,Video,Search Results,Mobile,False,8,242cd80e,2025-08-04 17:43:43
183,109,2037,5,Video,Notification,Desktop,True,4,2c822cdb,2025-03-08 09:58:59
184,8,4380,15,Local Deal,Story,Tablet,True,0,fdfc8b51,2025-03-02 09:34:36
185,89,3399,4,Sponsored Post,Notification,Desktop,True,2,1ad545b4,2025-08-11 06:12:54
186,46,1620,47,Video,Notification,Tablet,True,0,13473e04,2025-08-26 09:57:28
187,124,3631,18,Native,Feed,Desktop,True,10,81942d55,2025-08-12 11:26:23
188,173,176,15,Sponsored Post,Search Results,Mobile,True,5,8fb1d3a5,2025-10-11 10:29:58
189,161,1478,6,Video,Story,Tablet,False,24,35360a95,2025-08-30 16:59:10
190,131,4925,30,Local Deal,Story,Desktop,True,5,25870e9f,2025-07-31 20:25:34
191,57,3708,18,Sponsored Post,Feed,Tablet,True,8,d43d753e,2025-08-23 19:52:59
192,92,1304,34,Display,Notification,Mobile,True,10,424d47da,2025-06-30 08:39:07
193,60,3412,6,Sponsored Post,Search Results,Desktop,True,2,224402fc,2025-07-08 09:50:16
194,61,3926,23,Native,Notification,Tablet,False,1,2df06041,2025-02-21 18:53:59
195,121,2943,3,Local Deal,Notification,Tablet,True,4,50bc569c,2025-07-15 17:38:56
196,15,4953,40,Native,Right Rail,Mobile,True,0,0cd8e5f9,2025-10-01 10:58:18
197,79,2495,1,Sponsored Post,Feed,Mobile,True,8,94168bf7,2025-04-15 18:39:47
198,30,908,10,Sponsored Post,Feed,Tablet,True,6,eeae1467,2025-02-20 13:10:37
199,49,19,2,Video,Notification,Tablet,True,3,15d92262,2025-07-29 07:16:28
200,198,1360,11,Sponsored Post,Story,Desktop,True,4,b3caa376,2025-02-02 12:30:41
201,198,1624,7,Sponsored Post,Search Results,Mobile,False,2,01143320,2025-02-04 09:16:58
202,74,1676,9,Sponsored Post,Notification,Desktop,False,2,4bd1fc39,2025-07-08 10:59:05
203,66,2898,35,Sponsored Post,Story,Desktop,True,8,1b328860,2025-03-18 18:43:30
204,22,4796,42,Video,Right Rail,Tablet,True,2,d0377baf,2025-06-28 09:21:07
205,118,4326,29,Local Deal,Feed,Mobile,True,7,574d7ebd,2025-06-18 19:12:55
206,20,1304,34,Sponsored Post,Feed,Mobile,False,0,a4335450,2025-07-02 15:07:46
207,59,4246,13,Native,Notification,Tablet,True,0,e8217381,2025-01-12 09:49:59
208,181,288,45,Local Deal,Story,Mobile,True,2,17efbc92,2025-01-31 09:09:16
209,90,4885,12,Video,Notification,Desktop,False,4,2275a6af,2025-10-08 20:38:04
210,22,307,24,Video,Right Rail,Tablet,True,10,bca020eb,2025-07-24 18:30:50
211,162,2704,48,Video,Right Rail,Desktop,True,7,898ef9c3,2025-01-20 20:58:20
212,67,1697,28,Video,Notification,Mobile,True,10,5d6d11f4,2025-07-07 15:57:28
213,22,2269,23,Video,Right Rail,Desktop,True,2,37a1c676,2025-08-05 19:25:28
214,70,1388,32,Video,Right Rail,Desktop,True,2,8232b970,2025-07-16 18:47:13
215,127,3372,49,Display,Search Results,Tablet,True,48,f84dfbca,2025-09-25 23:47:22
216,99,3951,42,Local Deal,Right Rail,Tablet,True,50,6ba72190,2025-01-13 18:07:25
217,165,3576,1,Native,Right Rail,Desktop,True,2,9e60aa15,2025-06-11 14:50:35
218,50,4920,33,Display,Search Results,Mobile,True,4,f538414e,2025-04-17 08:25:15
219,164,4357,4,Local Deal,Story,Tablet,False,1,95d650e5,2025-11-10 13:07:43
220,145,3878,29,Video,Story,Tablet,True,4,234e2cfc,2025-06-23 20:34:40
221,40,4263,15,Video,Right Rail,Desktop,True,1,9275328c,2025-05-04 14:46:07
222,125,3547,18,Video,Notification,Mobile,False,4,afb03328,2025-03-14 10:00:48
223,69,4544,17,Video,Feed,Desktop,True,9,aaa835c1,2025-09-30 20:23:05
224,33,4544,17,Local Deal,Feed,Desktop,True,13,ae0be1ef,2025-03-25 20:01:38
225,105,1654,16,Display,Story,Tablet,True,1,1a84af59,2025-07-02 19:42:04
226,41,3169,18,Display,Right Rail,Desktop,True,1,1ea0c939,2025-09-23 20:21:40
227,133,1764,41,Native,Feed,Desktop,True,2,b54cc033,2025-02-04 13:51:43
228,31,2172,2,Native,Notification,Mobile,True,3,1948ac3e,2025-04-16 03:32:41
229,22,1163,8,Video,Story,Desktop,True,5,f7916b38,2025-08-05 18:40:43
230,31,4038,34,Native,Feed,Mobile,True,57,9720efbf,2025-04-13 20:53:52
231,8,3642,21,Local Deal,Search Results,Tablet,True,2,17b789cc,2025-03-02 15:49:24
232,27,552,47,Video,Search Results,Tablet,True,3,938afe91,2025-03-05 12:59:21
233,188,204,49,Display,Feed,Mobile,True,6,343981ba,2025-02-04 08:46:17
234,35,4917,48,Sponsored Post,Notification,Mobile,False,0,a960f20f,2025-06-03 02:12:58
235,183,2760,45,Sponsored Post,Search Results,Desktop,True,2,3c856441,2025-09-28 09:09:55
236,10,2358,25,Sponsored Post,Story,Mobile,True,3,bc4c7686,2025-10-07 18:05:04
237,51,3659,2,Native,Story,Tablet,True,0,063ecc12,2025-09-06 17:08:55
238,77,3913,45,Display,Notification,Tablet,True,55,5297970c,2025-09-27 09:13:54
239,166,3078,5,Local Deal,Search Results,Mobile,True,13,6d2e6d15,2025-04-29 22:39:17
240,192,3558,23,Display,Search Results,Mobile,True,8,4b75301d,2025-08-08 21:56:05
241,157,2401,33,Local Deal,Story,Tablet,True,2,f689a619,2025-01-29 08:40:15
242,57,2927,22,Sponsored Post,Story,Mobile,True,6,f75cc946,2025-08-11 13:44:35
243,28,1605,25,Sponsored Post,Right Rail,Desktop,True,3,ee052741,2025-09-26 19:47:51
244,55,291,17,Native,Right Rail,Mobile,True,3,723cc0d5,2025-09-05 11:21:58
245,93,626,7,Native,Feed,Mobile,True,10,42ae1166,2025-03-20 13:53:39
246,42,505,9,Local Deal,Feed,Desktop,True,9,a391227c,2025-04-04 19:30:33
247,87,2402,27,Video,Story,Mobile,True,4,52da83c7,2025-03-18 18:17:44
248,19,596,1,Display,Notification,Tablet,True,1,8b650a02,2025-07-12 08:52:58
249,171,1250,38,Local Deal,Search Results,Desktop,True,4,25a965a3,2025-04-12 10:46:43
250,158,4140,23,Video,Right Rail,Desktop,True,2,91d21529,2025-05-20 11:19:51
251,84,4497,48,Local Deal,Search Results,Tablet,True,6,41347e30,2025-07-07 15:47:33
252,44,4829,11,Display,Story,Tablet,True,15,2c793092,2025-08-08 13:10:11
253,75,2725,11,Native,Notification,Tablet,True,56,75fb04b0,2025-07-14 09:14:22
254,34,674,40,Video,Notification,Tablet,True,2,f4435eb6,2025-06-01 09:29:26
255,77,916,5,Display,Feed,Tablet,True,5,a9ef792a,2025-10-09 14:15:05
256,120,2086,14,Display,Right Rail,Tablet,True,7,be596b49,2025-03-14 18:54:58
257,143,2802,23,Display,Notification,Tablet,True,2,9ae45979,2025-05-19 11:04:40
258,140,4512,19,Native,Right Rail,Tablet,True,44,3fb1cbdc,2025-02-15 20:55:54
259,93,906,45,Native,Feed,Mobile,True,2,378c5044,2025-03-21 07:32:09
260,59,3013,32,Native,Notification,Desktop,True,2,c964a8c4,2025-01-14 20:58:23
261,56,4180,49,Native,Search Results,Desktop,True,8,d94497fe,2025-01-24 08:14:44
262,91,2573,13,Display,Notification,Mobile,True,0,d376f79f,2025-07-15 07:23:56
263,117,4716,7,Local Deal,Right Rail,Mobile,True,0,73e285f6,2025-07-19 17:30:13
264,20,4160,27,Sponsored Post,Right Rail,Desktop,True,8,cb14b5e2,2025-06-30 08:25:54
265,175,2513,17,Display,Right Rail,Tablet,True,6,1406ba9f,2025-01-26 19:30:14
266,62,2757,24,Video,Search Results,Desktop,True,8,010a2782,2025-09-06 11:43:18
267,165,2277,9,Native,Right Rail,Tablet,True,5,5ff776b3,2025-06-04 10:32:38
268,37,894,48,Native,Search Results,Desktop,True,6,1ba704fc,2025-01-18 21:19:08
269,99,3319,32,Local Deal,Feed,Tablet,True,1,9845a796,2025-01-14 11:16:55
270,127,2763,46,Display,Feed,Tablet,True,3,634b7186,2025-09-25 20:43:49
271,76,2730,12,Sponsored Post,Feed,Mobile,True,0,9815b2d1,2025-07-22 19:48:24
272,118,4208,41,Local Deal,Story,Tablet,True,57,0d78c277,2025-06-09 17:16:53
273,23,3761,34,Native,Feed,Desktop,True,10,9ce4331e,2025-02-07 12:55:43
274,90,67,38,Video,Right Rail,Mobile,True,3,1b10114b,2025-09-28 16:20:26
275,165,114,3,Native,Search Results,Tablet,True,4,ecf4d42c,2025-06-11 15:32:32
276,7,4247,10,Video,Search Results,Mobile,True,59,b084663c,2025-06-11 09:48:35
277,190,2647,1,Display,Notification,Mobile,True,2,7dcc57c5,2025-06-20 11:28:14
278,85,3526,18,Native,Notification,Desktop,True,1,e22dc39f,2025-06-04 10:02:02
279,91,4724,2,Display,Notification,Desktop,True,0,5d165771,2025-06-21 12:04:27
280,176,1346,45,Native,Search Results,Desktop,True,10,f978c040,2025-04-08 17:54:20
281,28,2288,32,Sponsored Post,Search Results,Tablet,True,3,641e971f,2025-10-05 19:27:32
282,33,2464,24,Local Deal,Search Results,Desktop,True,4,b4bc9065,2025-04-19 16:56:20
283,118,3892,39,Local Deal,Right Rail,Tablet,True,11,ee367dcd,2025-06-04 06:37:45
284,195,3653,31,Video,Right Rail,Desktop,False,2,774f88d0,2025-01-24 10:15:56
285,102,2280,32,Display,Feed,Tablet,True,10,4806011b,2025-01-31 10:47:41
286,19,2664,25,Display,Search Results,Tablet,True,3,a1db8192,2025-07-16 08:18:00
287,36,603,26,Video,Notification,Desktop,True,3,2128cbf8,2025-08-12 19:59:44
288,3,1411,5,Local Deal,Notification,Tablet,True,22,9dd3c0d3,2025-05-04 16:12:45
289,6,2833,21,Local Deal,Story,Mobile,True,10,bb32b05a,2025-04-15 23:49:07
290,94,2160,35,Display,Search Results,Tablet,True,5,5276fda5,2025-01-16 16:55:03
291,115,1578,33,Native,Search Results,Mobile,False,3,3098a5fa,2025-02-14 08:04:18
292,172,618,7,Video,Right Rail,Tablet,True,60,9ea2461c,2025-09-18 10:45:10
293,66,418,40,Sponsored Post,Search Results,Mobile,True,4,e4dfd2e9,2025-03-19 16:13:01
294,71,4399,33,Display,Right Rail,Tablet,True,37,5be30054,2025-07-03 17:44:22
295,93,2815,42,Native,Feed,Mobile,True,2,9e1a8a80,2025-03-19 19:59:40
296,70,2585,24,Video,Feed,Mobile,True,1,e1cd8046,2025-07-21 14:49:21
297,39,4882,49,Display,Story,Desktop,True,55,5caa3783,2025-05-20 06:15:01
298,81,2426,2,Native,Right Rail,Tablet,True,1,a85344ae,2025-03-29 20:20:18
299,172,1934,19,Video,Right Rail,Tablet,True,10,a5abda7b,2025-09-25 09:25:47
300,107,1815,12,Local Deal,Right Rail,Tablet,True,50,b13b8ee8,2025-08-30 07:13:47
301,5,2320,49,Display,Search Results,Mobile,True,8,80a9bc95,2025-09-10 07:07:42
